Mr. Stephen D. Barrett,(26/12/1913 - 08/09/1976),Barrister-at-Law,Fine Gael members of the 17th Dáil,Cork Borough
Mr. Anthony Barry,(07/06/1901 - 24/10/1983),Tea Merchant,Fine Gael members of the 17th Dáil,Cork Borough
Mr. Richard Barry,(04/09/1919 - ),Publican,Fine Gael members of the 17th Dáil,Cork East
Mr. Jack Belton,( - 23/02/1963),Builder and Publican,Fine Gael members of the 17th Dáil,Dublin North-East
Mr. Paddy Belton,(25/06/1926 - 22/05/1987),Publican and Company Director,Fine Gael members of the 17th Dáil,Dublin North-East
Mr. Michael Browne,(12/01/1930 - ),Shopkeeper and Auctioneer,Fine Gael members of the 17th Dáil,Mayo North
Mr. James J. Burke,( - 12/05/1964),Farmer,Fine Gael members of the 17th Dáil,Roscommon
Mrs. Joan T. Burke,(08/02/1928 - ),Nurse Farmer,Fine Gael members of the 17th Dáil,Roscommon
Mr. Philip Burton,(26/07/1910 - 03/01/1995),Farmer and Auctioneer,Fine Gael members of the 17th Dáil,Cork North-East
Mr. Patrick Byrne,(02/04/1925 - ),Accountant,Fine Gael members of the 17th Dáil,Dublin North-East
Mr. Mark A. Clinton,(07/02/1915 - 23/12/2001),Estate Manager,Fine Gael members of the 17th Dáil,Dublin County
Mr. Sean Collins,(10/07/1918 - 11/04/1975),Barrister-at-Law.,Fine Gael members of the 17th Dáil,Cork West
Mr. Patrick Connor,(15/03/1906 - 26/08/1989),Businessman,Fine Gael members of the 17th Dáil,Administrative Panel
Mr. Fintan (Senior) Coogan,(13/04/1910 - 01/01/1985),Blacksmith,Fine Gael members of the 17th Dáil,Galway West
Mr. Liam Cosgrave,(13/04/1920 - ),Barrister-at-Law,Fine Gael members of the 17th Dáil,Dublin County
Mr. Declan Costello,(01/08/1926 - ),Barrister-at-Law,Fine Gael members of the 17th Dáil,Dublin North-West
Mr. John Aloysius Costello,(20/06/1891 - 05/01/1976),Senior Counsel,Fine Gael members of the 17th Dáil,Dublin County
Mr. Patrick J. Crotty,(23/11/1902 - 26/11/1970),Bakery Proprietor,Fine Gael members of the 17th Dáil,Carlow-Kilkenny
Mr. James M. Dillon,(26/09/1902 - 10/02/1986),Barrister-at-Law Farmer and Merchant,Fine Gael members of the 17th Dáil,Donegal
Mr. Henry Percy Dockrell,(27/12/1914 - 22/11/1979),Solicitor,Fine Gael members of the 17th Dáil,Dún Laoghaire and Rathdown
Mr. Maurice Edward Dockrell,(06/10/1908 - 09/12/1986),Company Director,Fine Gael members of the 17th Dáil,Dublin South
Mr. Patrick S. Donegan,(29/10/1923 - 26/11/2000),Businessman and Farmer,Fine Gael members of the 17th Dáil,Louth
Mr. John F. Donnellan,(27/03/1937 - ),Farmer,Fine Gael members of the 17th Dáil,Galway East
Mr. Thomas Dunne,(10/03/1926 - 03/08/1990),Licensed Vintner,Fine Gael members of the 17th Dáil,Tipperary North
Sir Anthony Charles Esmonde,(18/01/1899 - 01/01/1981),Medical Practitioner and Farmer,Fine Gael members of the 17th Dáil,Wexford
Mr. Denis Farrelly,(18/09/1912 - 27/12/1974),Farmer and Auctioneer,Fine Gael members of the 17th Dáil,Meath
