Mr. John Butler,( - 16/02/1968),Farmer Trade Union Official,The Labour Party members of the 4th Dáil,Waterford-Tipperary East
Mr. Patrick Clancy,( - 21/02/1947),Carpenter,The Labour Party members of the 4th Dáil,Limerick
Mr. Hugh Colohan,(30/09/1894 - 15/04/1931),Brick and Stone Layer,The Labour Party members of the 4th Dáil,Kildare-Wicklow
Mr. Richard Corish,( - 19/07/1945),Labour Union Official,The Labour Party members of the 4th Dáil,Wexford
Mr. William Davin,( - 01/03/1956),Station Master,The Labour Party members of the 4th Dáil,Leix-Offaly
Mr. Edward Doyle,,Agricultural Worker,The Labour Party members of the 4th Dáil,Carlow-Kilkenny
Mr. James Everett,(01/05/1894 - 18/12/1967),Trade Union Secretary,The Labour Party members of the 4th Dáil,Kildare-Wicklow
Mr. David Hall,,Agricultural Worker,The Labour Party members of the 4th Dáil,Meath
Mr. Patrick Hogan,(01/01/1886 - 24/01/1969),Barrister and Author,The Labour Party members of the 4th Dáil,Clare
Mr. Thomas Johnson,(17/05/1872 - 17/01/1963),Trade Union Official,The Labour Party members of the 4th Dáil,Dublin County
Mr. Daniel Morrissey,( - 01/01/1981),Auctioneer,The Labour Party members of the 4th Dáil,Tipperary Mid North and South
Mr. Timothy Joseph Murphy,( - 29/04/1949),Trade Union Official,The Labour Party members of the 4th Dáil,Cork West
Mr. Thomas Alexander Nagle,,The Labour Party (The Labour Party members of the 4th Dáil),The Labour Party members of the 4th Dáil,Cork Mid North South South-East West
Mr. William Norton,( - 04/12/1963),Trade Union Official,The Labour Party members of the 4th Dáil,Dublin County
Mr. Thomas J. O'Connell,( - 21/06/1969),Trade Union Official,The Labour Party members of the 4th Dáil,Galway
