Mr. Jack Belton,( - 23/02/1963),Builder and Publican,Fine Gael members of the 13th Dáil,Dublin North-East
Mr. Patrick Browne,( - 24/07/1970),Farmer and Merchant,Fine Gael members of the 13th Dáil,Mayo North
Mr. James Coburn,( - 05/12/1953),Builders Foreman,Fine Gael members of the 13th Dáil,Louth
Mr. Sean Collins,(10/07/1918 - 11/04/1975),Barrister-at-Law.,Fine Gael members of the 13th Dáil,Cork West
Mr. Liam Cosgrave,(13/04/1920 - ),Barrister-at-Law,Fine Gael members of the 13th Dáil,Dublin County
Mr. John Aloysius Costello,(20/06/1891 - 05/01/1976),Senior Counsel,Fine Gael members of the 13th Dáil,Dublin County
Mr. Patrick J. Crotty,(23/11/1902 - 26/11/1970),Bakery Proprietor,Fine Gael members of the 13th Dáil,Carlow-Kilkenny
Mr. Maurice Edward Dockrell,(06/10/1908 - 09/12/1986),Company Director,Fine Gael members of the 13th Dáil,Dublin South
Mr. Peadar S. Doyle,( - 04/08/1956),Engineer,Fine Gael members of the 13th Dáil,Dublin South
Sir John Esmonde,(15/12/1893 - 06/07/1958),Barrister-at-Law and Farmer,Fine Gael members of the 13th Dáil,Wexford
Capt. Patrick Giles,(01/01/1900 - 13/03/1965),Irish Army Captain,Fine Gael members of the 13th Dáil,Meath-Westmeath
Mr. Joseph Hughes,(18/09/1905 - 20/01/1960),Farmer,Fine Gael members of the 13th Dáil,Carlow-Kilkenny
Mr. Seán (Major-General) Mac Eoin,( - 07/07/1973),Former Army Officer,Fine Gael members of the 13th Dáil,Longford -Westmeath
Mr. David John Madden,( - 31/07/1955),Farmer and Auctioneer,Fine Gael members of the 13th Dáil,Industrial and Commercial Panel
Mr. Michael Óg McFadden,(01/01/1885 - 27/08/1958),Merchant and Auctioneer,Fine Gael members of the 13th Dáil,Donegal
Mr. Patrick McGilligan,(12/04/1889 - 15/11/1979),Lawyer and University Professor,Fine Gael members of the 13th Dáil,National University of Ireland
Mr. Daniel McMenamin,(01/03/1882 - ),Barrister-at-law,Fine Gael members of the 13th Dáil,Donegal
Mr. Joseph W. Mongan,(11/03/1880 - 12/03/1951),Hotel Proprietor,Fine Gael members of the 13th Dáil,Galway
Mr. Daniel Morrissey,( - 01/01/1981),Auctioneer,Fine Gael members of the 13th Dáil,Tipperary Mid North and South
General Richard Mulcahy,(10/05/1886 - 16/12/1971),Company Director,Fine Gael members of the 13th Dáil,Dublin (Clontarf)
Mr. Patrick O'Donnell,( - 04/10/1970),Solicitor,Fine Gael members of the 13th Dáil,Donegal West
Mr. Patrick James (Joseph) O'Gorman,,Shopkeeper,Fine Gael members of the 13th Dáil,Cork East
Mr. Michael Joseph O'Higgins,(01/11/1917 - 09/03/2005),Solicitor,Fine Gael members of the 13th Dáil,Dublin South-West
Mr. Thomas Francis (Jnr.) O'Higgins,(23/07/1916 - 25/02/2003),Lawyer,Fine Gael members of the 13th Dáil,Leix-Offaly
Mr. Thomas Francis (Snr.) O'Higgins,( - 01/11/1953),Medical Practitioner,Fine Gael members of the 13th Dáil,Dublin North
Mr. Patrick W. Palmer,( - 21/03/1971),National Teacher,Fine Gael members of the 13th Dáil,Kerry South
Bridget Mary Redmond,( - 03/05/1952),Landowner,Fine Gael members of the 13th Dáil,Waterford
Mr. James Reidy,( - 07/12/1963),Coal Merchant,Fine Gael members of the 13th Dáil,Limerick
Ms. Mary Reynolds,(10/10/1889 - 29/08/1974),Farmer Grocer and Spirit Merchant,Fine Gael members of the 13th Dáil,Leitrim-Sligo
Mr. Joseph Roddy,( - 03/10/1965),Company Director and Farmer,Fine Gael members of the 13th Dáil,Sligo-Leitrim
Mr. Éamon Rooney,( - 09/11/1993),Insurance Broker,Fine Gael members of the 13th Dáil,Dublin County
Mr. Gerard Sweetman,(10/06/1908 - 28/01/1970),Solicitor,Fine Gael members of the 13th Dáil,Agricultural Panel
