Mr. Frank Aiken,(13/02/1898 - 18/05/1983),Farmer,Fianna Fáil members of the 18th Dáil,Louth
Mr. Lorcan Allen,(27/03/1940 - ),Farmer,Fianna Fáil members of the 18th Dáil,Wexford
Mr. David Andrews,(15/03/1935 - ),Minister Senior Counsel,Fianna Fáil members of the 18th Dáil,Dún Laoghaire and Rathdown
Mr. Sylvester Barrett,(18/05/1926 - 08/05/2002),Auctioneer,Fianna Fáil members of the 18th Dáil,Clare
Mr. Neil T. Blaney,(30/10/1922 - 08/11/1995),Businessman and Farmer,Fianna Fáil members of the 18th Dáil,Donegal East
Mr. Kevin Boland,(15/10/1917 - 23/09/2001),Civil Engineer,Fianna Fáil members of the 18th Dáil,Dublin County
Mr. Lionel O. Booth,(12/06/1914 - 31/05/1997),Company Director,Fianna Fáil members of the 18th Dáil,Dún Laoghaire and Rathdown
Mr. Terence Boylan,(10/09/1910 - 10/01/1991),Businessman,Fianna Fáil members of the 18th Dáil,Kildare
Mr. Philip A. Brady,(10/06/1898 - 06/01/1995),Chemist,Fianna Fáil members of the 18th Dáil,Dublin South-Central
Mr. Joseph Brennan,(14/02/1912 - 13/07/1980),Merchant and Auctioneer,Fianna Fáil members of the 18th Dáil,Donegal West
Mr. Paudge Brennan,(18/02/1922 - 10/06/1998),Farmer,Fianna Fáil members of the 18th Dáil,Wicklow
Mr. Ben Briscoe,(11/03/1934 - ),Full-Time Public Representative,Fianna Fáil members of the 18th Dáil,Dublin South-West
Mr. Patrick (Fad) Browne,(12/09/1906 - 19/02/1991),Licensed Vintner,Fianna Fáil members of the 18th Dáil,Waterford
Mr. Patrick J. Burke,(26/01/1904 - 09/09/1985),Hospital Official,Fianna Fáil members of the 18th Dáil,Dublin County
Mr. Phelim A. Calleary,(03/10/1895 - 04/01/1974),Engineer,Fianna Fáil members of the 18th Dáil,Mayo North
Mr. Frank Carter,(27/07/1910 - 17/07/1988),Shopkeeper,Fianna Fáil members of the 18th Dáil,Longford -Westmeath
Mr. Michael Carty,(16/12/1916 - 23/04/1975),Teacher,Fianna Fáil members of the 18th Dáil,Galway South
Mr. Erskine Hamilton Childers,(11/12/1905 - 17/11/1974),Company Director,Fianna Fáil members of the 18th Dáil,Athlone-Longford
Mr. Patrick Clohessy,(16/04/1908 - 06/08/1971),Farmer,Fianna Fáil members of the 18th Dáil,Limerick East
Mr. George Colley,(18/10/1925 - 17/09/1983),Solicitor,Fianna Fáil members of the 18th Dáil,Dublin North-East
Mr. Gerard Collins,(16/10/1938 - ),Vocational Teacher,Fianna Fáil members of the 18th Dáil,Limerick West
Mr. James J. Collins,(31/10/1900 - 01/09/1967),Fianna Fáil (Fianna Fáil members of the 18th Dáil),Fianna Fáil members of the 18th Dáil,Limerick West
Mr. Martin John Corry,(12/12/1890 - 14/02/1979),Farmer,Fianna Fáil members of the 18th Dáil,Cork East
Mr. Edward Cotter,(27/06/1902 - 11/12/1972),Fianna Fáil (Fianna Fáil members of the 18th Dáil),Fianna Fáil members of the 18th Dáil,Cork West
Mr. Brendan Crinion,(11/09/1923 - 02/07/1989),Farmer,Fianna Fáil members of the 18th Dáil,Kildare
Mr. Jeremiah Cronin,(15/09/1925 - 19/10/1990),Secretary Irish Sugar Beet Growers' Association,Fianna Fáil members of the 18th Dáil,Cork North-East
Flor Crowley,(27/12/1934 - 16/05/1997),Auctioneer,Fianna Fáil members of the 18th Dáil,Cork Mid
Ms. Honor Mary Crowley,(19/10/1903 - 18/10/1966),Social Worker,Fianna Fáil members of the 18th Dáil,Kerry South
Mr. Liam Cunningham,(25/01/1915 - 29/02/1976),Teacher,Fianna Fáil members of the 18th Dáil,Donegal East
Mr. Donal (Owen Don Bosco) Davern,(04/03/1935 - 02/11/1968),Fianna Fáil (Fianna Fáil members of the 18th Dáil),Fianna Fáil members of the 18th Dáil,Tipperary South
Vivion de Valera,(13/12/1910 - 16/02/1982),Senior Counsel Managing Director Irish Press Ltd,Fianna Fáil members of the 18th Dáil,Dublin North-West
Mr. Joe Dowling,(02/02/1922 - ),Auctioneer,Fianna Fáil members of the 18th Dáil,Dublin South-West
Mr. Nicholas Egan,(17/07/1903 - 05/12/1971),Fianna Fáil (Fianna Fáil members of the 18th Dáil),Fianna Fáil members of the 18th Dáil,Leix-Offaly
Mr. John (Jackie) Fahey,(23/01/1928 - ),Farmer Auctioneer Insurance Broker,Fianna Fáil members of the 18th Dáil,Tipperary South
Mr. John Fanning,(22/10/1903 - 01/01/1982),Farmer,Fianna Fáil members of the 18th Dáil,Tipperary North
Mr. Padraig Faulkner,(12/03/1918 - ),National Teacher,Fianna Fáil members of the 18th Dáil,Louth
Mr. Thomas J. (Dublin South-Central) Fitzpatrick,(29/07/1926 - ),Publican,Fianna Fáil members of the 18th Dáil,Dublin South-Central
Mr. Sean Flanagan,(26/01/1922 - 05/02/1993),Solicitor,Fianna Fáil members of the 18th Dáil,Mayo South
Mr. Des Foley,(12/09/1940 - 05/02/1995),Fianna Fáil (Fianna Fáil members of the 18th Dáil),Fianna Fáil members of the 18th Dáil,Dublin County
Mr. Sean (Cork City) French,(08/11/1931 - ),Clerk,Fianna Fáil members of the 18th Dáil,Cork Borough
Mr. James Gallagher,(20/04/1920 - 11/03/1983),Farmer and Industrialist,Fianna Fáil members of the 18th Dáil,Sligo-Leitrim
Mr. John Geoghegan,(05/11/1913 - 05/01/1975),Transport Employee,Fianna Fáil members of the 18th Dáil,Galway West
Dr. Hugh Gibbons,(06/07/1916 - 15/11/2007),Medical Doctor,Fianna Fáil members of the 18th Dáil,Roscommon
Mr. James Gibbons,(03/08/1924 - 20/12/1997),Farmer,Fianna Fáil members of the 18th Dáil,Carlow-Kilkenny
Mr. Eugene Gilbride,(01/10/1892 - 11/03/1972),Farmer,Fianna Fáil members of the 18th Dáil,Sligo-Leitrim
Mr. Richard Gogan,(29/11/1899 - 28/04/1982),Home Assistance Officer,Fianna Fáil members of the 18th Dáil,Dublin North-West
Mr. Charles J. Haughey,(16/09/1925 - 13/06/2006),Formerly Accountant,Fianna Fáil members of the 18th Dáil,Dublin North-East
Augustine .A. (Gus) Healy,(20/05/1904 - 10/07/1987),Dental Laboratory Proprietor,Fianna Fáil members of the 18th Dáil,Cork Borough
Dr. Patrick J. Hillery,(02/05/1923 - 12/04/2008),Medical Practitioner,Fianna Fáil members of the 18th Dáil,Clare
Mr. Michael Hilliard,(11/03/1903 - 01/01/1982),Livestock Trader,Fianna Fáil members of the 18th Dáil,Meath-Westmeath
Mr. William Kenneally,(12/10/1925 - 26/08/2009),Partner Kenneally Bus Services Waterford.,Fianna Fáil members of the 18th Dáil,Waterford
Mr. James J. Kennedy,(10/03/1909 - 13/09/1968),Farmer,Fianna Fáil members of the 18th Dáil,Wexford
Mr. Michael F. Kitt,(13/09/1914 - 24/12/1974),Teacher,Fianna Fáil members of the 18th Dáil,Galway North
Mr. Patrick J. Lalor,(21/07/1926 - ),General Merchant,Fianna Fáil members of the 18th Dáil,Laoighis-Offaly
Mr. Noel T. Lemass,(14/02/1929 - 13/04/1976),Commercial Traveller,Fianna Fáil members of the 18th Dáil,Dublin South-West
Mr. Seán F. Lemass,(15/07/1899 - 11/05/1971),Outfitter,Fianna Fáil members of the 18th Dáil,Dublin South
Mr. Brian (Snr.) Lenihan,(17/11/1930 - 01/11/1995),Company Director Barrister-at-Law,Fianna Fáil members of the 18th Dáil,Industrial and Commercial Panel
Mr. Patrick Lenihan,(04/09/1902 - 11/03/1970),Company Director Hotelier,Fianna Fáil members of the 18th Dáil,Longford -Westmeath
Ms. Celia Lynch,(06/05/1908 - 16/06/1989),Housewife,Fianna Fáil members of the 18th Dáil,Dublin South-Central
Mr. Jack Lynch,(15/08/1917 - 20/10/1999),Barrister-in-law,Fianna Fáil members of the 18th Dáil,Cork Borough
Mr. Seán MacEntee,( - 10/01/1984),Engineer,Fianna Fáil members of the 18th Dáil,Monaghan South
Mr. Thomas (Snr.) McEllistrim,(14/10/1894 - 04/12/1973),Farmer,Fianna Fáil members of the 18th Dáil,Kerry
Mr. Thomas Meaney,(11/08/1931 - ),Farmer,Fianna Fáil members of the 18th Dáil,Cork Mid
Mr. Anthony G. Millar,(24/09/1934 - 23/01/1993),Farmer,Fianna Fáil members of the 18th Dáil,Galway South
Mr. Robert (Bobby) Molloy,(06/07/1936 - ),Company Director,Fianna Fáil members of the 18th Dáil,Galway West
