Mr. Johnny Fox,(05/04/1948 - 17/03/1995),Farmer,Independent members of the 27th Dáil,Wicklow
Ms. Mildred Fox,(17/06/1971 - ),Full-Time Public Representative formerly Hotel front-Office Manager,Independent members of the 27th Dáil,Wicklow
Mr. Tom Foxe,(01/06/1937 - 08/02/2000),Publican Agricultural Adviser,Independent members of the 27th Dáil,Roscommon
Mr. Tony Gregory (Deceased),(05/12/1947 - 02/01/2009),Full-Time Public Representative formerly Teacher,Independent members of the 27th Dáil,Dublin Central
