Mr. Richard Corish,( - 19/07/1945),Labour Union Official,The Labour Party members of the 8th Dáil,Wexford
Mr. William Davin,( - 01/03/1956),Station Master,The Labour Party members of the 8th Dáil,Leix-Offaly
Mr. James Everett,(01/05/1894 - 18/12/1967),Trade Union Secretary,The Labour Party members of the 8th Dáil,Kildare-Wicklow
Mr. Patrick Hogan,(01/01/1886 - 24/01/1969),Barrister and Author,The Labour Party members of the 8th Dáil,Clare
Mr. Michael Keyes,,Railway Worker,The Labour Party members of the 8th Dáil,Limerick
Mr. Timothy Joseph Murphy,( - 29/04/1949),Trade Union Official,The Labour Party members of the 8th Dáil,Cork West
Mr. William Norton,( - 04/12/1963),Trade Union Official,The Labour Party members of the 8th Dáil,Dublin County
Mr. James P. Pattison,(28/06/1886 - 31/12/1963),Accountant,The Labour Party members of the 8th Dáil,Carlow-Kilkenny
