Mr. Frank Aiken,(13/02/1898 - 18/05/1983),Farmer,Fianna Fáil members of the 14th Dáil,Louth
Mr. Denis Allen,(02/01/1896 - 29/03/1961),Farmer,Fianna Fáil members of the 14th Dáil,Wexford
Mr. Gerald Bartley,(12/06/1898 - 10/05/1974),Insurance Official Barrister-at-law,Fianna Fáil members of the 14th Dáil,Galway
Mr. Patrick Beegan,(26/05/1895 - 02/02/1959),Farmer,Fianna Fáil members of the 14th Dáil,Galway
Mr. Neil T. Blaney,(30/10/1922 - 08/11/1995),Businessman and Farmer,Fianna Fáil members of the 14th Dáil,Donegal East
Mr. Gerald Boland,(25/05/1885 - 05/01/1973),Engineer,Fianna Fáil members of the 14th Dáil,Roscommon
Mr. Patrick Boland,,Farmer,Fianna Fáil members of the 14th Dáil,Leix-Offaly
Mr. Daniel Bourke,( - 13/04/1952),Wagon Builder and Former Lord Mayor of Limerick,Fianna Fáil members of the 14th Dáil,Limerick
Mr. Philip A. Brady,(10/06/1898 - 06/01/1995),Chemist,Fianna Fáil members of the 14th Dáil,Dublin South-Central
Mr. Sean Brady,( - 24/02/1969),Member of Vigzol Lubricants Ltd.,Fianna Fáil members of the 14th Dáil,Dublin County
Mr. Cormac Breathnach,( - 29/05/1956),National School Teacher,Fianna Fáil members of the 14th Dáil,Dublin North
Mr. Daniel Breen,(11/08/1894 - 27/12/1969),Former Railway Employee,Fianna Fáil members of the 14th Dáil,Tipperary
Mr. Joseph Brennan,(14/02/1912 - 13/07/1980),Merchant and Auctioneer,Fianna Fáil members of the 14th Dáil,Donegal West
Mr. Thomas Brennan,( - 22/01/1953),Building Contractor,Fianna Fáil members of the 14th Dáil,Wicklow
Mr. Cormac Breslin,(25/04/1902 - 23/01/1978),General Merchant,Fianna Fáil members of the 14th Dáil,Donegal West
Mr. Robert Briscoe,(25/09/1894 - 30/05/1969),Company Director,Fianna Fáil members of the 14th Dáil,Dublin South
Mr. Sean Buckley,( - 01/01/1963),Contractor and Builder,Fianna Fáil members of the 14th Dáil,Cork West
Mr. Patrick J. Burke,(26/01/1904 - 09/09/1985),Hospital Official,Fianna Fáil members of the 14th Dáil,Dublin County
Mr. Bernard Butler,(01/09/1886 - 13/03/1959),Principal Teacher,Fianna Fáil members of the 14th Dáil,Dublin Townships
Mr. Phelim A. Calleary,(03/10/1895 - 04/01/1974),Engineer,Fianna Fáil members of the 14th Dáil,Mayo North
Mr. Frank Carter,(27/07/1910 - 17/07/1988),Shopkeeper,Fianna Fáil members of the 14th Dáil,Longford -Westmeath
Mr. Erskine Hamilton Childers,(11/12/1905 - 17/11/1974),Company Director,Fianna Fáil members of the 14th Dáil,Athlone-Longford
Mr. Harry Colley,(21/02/1891 - 18/01/1972),Rate Collector,Fianna Fáil members of the 14th Dáil,Dublin North-East
Mr. James J. Collins,(31/10/1900 - 01/09/1967),Fianna Fáil (Fianna Fáil members of the 14th Dáil),Fianna Fáil members of the 14th Dáil,Limerick West
Mr. Martin John Corry,(12/12/1890 - 14/02/1979),Farmer,Fianna Fáil members of the 14th Dáil,Cork East
Ms. Honor Mary Crowley,(19/10/1903 - 18/10/1966),Social Worker,Fianna Fáil members of the 14th Dáil,Kerry South
Mr. Tadhg Crowley,( - 12/03/1970),Merchant.,Fianna Fáil members of the 14th Dáil,Limerick
Mr. Liam Cunningham,(25/01/1915 - 29/02/1976),Teacher,Fianna Fáil members of the 14th Dáil,Donegal East
Mr. Michael J. Davern,(22/07/1900 - 25/07/1973),Publican,Fianna Fáil members of the 14th Dáil,Tipperary South
Mr. Eamon de Valera,(14/10/1882 - 29/08/1975),Secondary Teacher,Fianna Fáil members of the 14th Dáil,Clare East
Vivion de Valera,(13/12/1910 - 16/02/1982),Senior Counsel Managing Director Irish Press Ltd,Fianna Fáil members of the 14th Dáil,Dublin North-West
Mr. Thomas Derrig,( - 19/11/1956),Headmaster,Fianna Fáil members of the 14th Dáil,Mayo North and West
Mr. Peadar Duignan,(26/07/1898 - 13/04/1955),Fianna Fáil (Fianna Fáil members of the 14th Dáil),Fianna Fáil members of the 14th Dáil,Galway West
Mr. John Fanning,(22/10/1903 - 01/01/1982),Farmer,Fianna Fáil members of the 14th Dáil,Tipperary North
Mr. Sean Flanagan,(26/01/1922 - 05/02/1993),Solicitor,Fianna Fáil members of the 14th Dáil,Mayo South
Mr. Stephen Flynn,( - 24/11/1960),Fianna Fáil (Fianna Fáil members of the 14th Dáil),Fianna Fáil members of the 14th Dáil,Leitrim-Sligo
Mr. Colm Gallagher,( - 26/06/1957),Company Director,Fianna Fáil members of the 14th Dáil,Dublin North Central
Mr. Eugene Gilbride,(01/10/1892 - 11/03/1972),Farmer,Fianna Fáil members of the 14th Dáil,Sligo-Leitrim
Mr. Thomas Harris,(01/01/1895 - 18/02/1974),Farmer,Fianna Fáil members of the 14th Dáil,Kildare
Dr. Patrick J. Hillery,(02/05/1923 - 12/04/2008),Medical Practitioner,Fianna Fáil members of the 14th Dáil,Clare
Mr. Michael Hilliard,(11/03/1903 - 01/01/1982),Livestock Trader,Fianna Fáil members of the 14th Dáil,Meath-Westmeath
Mr. Francis Humphreys,( - 19/04/1961),Medical Practitioner,Fianna Fáil members of the 14th Dáil,Carlow-Kilkenny
Mr. William Kenneally,( - 13/09/1964),Omnibus Service Operator,Fianna Fáil members of the 14th Dáil,Waterford
Mr. Michael Joseph Kennedy,( - 14/02/1965),Clerk,Fianna Fáil members of the 14th Dáil,Longford -Westmeath
Mr. Mark (Snr.) Killilea,(01/01/1896 - 29/09/1970),Farmer and Shopkeeper,Fianna Fáil members of the 14th Dáil,Galway
Mr. Robert Lahiffe,( - 08/03/1975),Farmer,Fianna Fáil members of the 14th Dáil,Galway South
Mr. Seán F. Lemass,(15/07/1899 - 11/05/1971),Outfitter,Fianna Fáil members of the 14th Dáil,Dublin South
Mr. Patrick J. Little,(17/06/1884 - 16/05/1963),Solicitor and Journalist,Fianna Fáil members of the 14th Dáil,Waterford
Mr. Jack Lynch,(15/08/1917 - 20/10/1999),Barrister-in-law,Fianna Fáil members of the 14th Dáil,Cork Borough
Mr. Seán MacEntee,( - 10/01/1984),Engineer,Fianna Fáil members of the 14th Dáil,Monaghan South
Mr. Patrick J. Maguire,( - 04/07/1970),Medical Practitioner (also Bord na gCon),Fianna Fáil members of the 14th Dáil,Monaghan
Mr. Peader Maher,(01/02/1924 - ),Publican,Fianna Fáil members of the 14th Dáil,Leix-Offaly
Mr. John McCann,(17/06/1905 - 23/02/1980),Author and Journalist,Fianna Fáil members of the 14th Dáil,Dublin South
Mr. Seán (Cork) McCarthy,( - 14/03/1974),Teacher,Fianna Fáil members of the 14th Dáil,Cork South-East
Mr. Thomas (Snr.) McEllistrim,(14/10/1894 - 04/12/1973),Farmer,Fianna Fáil members of the 14th Dáil,Kerry
Mr. Patrick McGrath,( - 20/06/1956),Fianna Fáil (Fianna Fáil members of the 14th Dáil),Fianna Fáil members of the 14th Dáil,Cork Borough
Mr. Michael Moran,(25/12/1912 - 06/05/1983),Solicitor,Fianna Fáil members of the 14th Dáil,Mayo South
Mr. Seán Moylan,( - 16/11/1957),Building Contractor,Fianna Fáil members of the 14th Dáil,Cork Mid North South South-East West
Mr. Donnchadh Ó Briain,(17/11/1897 - 22/09/1981),Irish Teacher and Assistant Creamery Manager,Fianna Fáil members of the 14th Dáil,Limerick
Mr. Matthew O'Reilly,(01/03/1880 - 13/11/1962),Farmer,Fianna Fáil members of the 14th Dáil,Meath
Mr. John Ormonde,(15/09/1905 - 25/06/1981),Teacher,Fianna Fáil members of the 14th Dáil,Waterford
Mr. Timothy (Ted) O'Sullivan,(26/07/1899 - ),Farmer,Fianna Fáil members of the 14th Dáil,Cork West
Ms. Bridget Mary Rice,( - 08/12/1967),Postmistress,Fianna Fáil members of the 14th Dáil,Monaghan
Mr. Patrick J. Ruttledge,( - 08/05/1952),Solicitor,Fianna Fáil members of the 14th Dáil,Mayo North and West
Dr. James Ryan,(06/12/1891 - 25/09/1970),Physician Farmer and Company Director,Fianna Fáil members of the 14th Dáil,Wexford South
Ms. Mary Bridget Ryan,(31/01/1898 - 08/02/1981),Farmer,Fianna Fáil members of the 14th Dáil,Tipperary
Mr. Michael Sheridan,( - 06/07/1970),Farmer,Fianna Fáil members of the 14th Dáil,Cavan
Mr. Patrick Smith,(17/07/1901 - 18/03/1982),Farmer,Fianna Fáil members of the 14th Dáil,Cavan
Mr. Oscar Traynor,(21/03/1886 - 21/12/1963),Woodcarver and Compositor,Fianna Fáil members of the 14th Dáil,Dublin North
Mr. Laurence Joseph Walsh,(01/08/1883 - 11/08/1962),Farmer Grocer - Corn and Provision Merchant,Fianna Fáil members of the 14th Dáil,Louth
Mr. Thomas Walsh,(18/12/1901 - 14/07/1956),Farmer,Fianna Fáil members of the 14th Dáil,Agricultural Panel
