Mr. Frank Aiken,(13/02/1898 - 18/05/1983),Farmer,Fianna Fáil members of the 8th Dáil,Louth
Mr. Denis Allen,(02/01/1896 - 29/03/1961),Farmer,Fianna Fáil members of the 8th Dáil,Wexford
Mr. Gerald Bartley,(12/06/1898 - 10/05/1974),Insurance Official Barrister-at-law,Fianna Fáil members of the 8th Dáil,Galway
Mr. Patrick Beegan,(26/05/1895 - 02/02/1959),Farmer,Fianna Fáil members of the 8th Dáil,Galway
Mr. Neal Blaney,(01/11/1893 - 30/10/1948),Farmer and Company Director,Fianna Fáil members of the 8th Dáil,Donegal
Mr. Gerald Boland,(25/05/1885 - 05/01/1973),Engineer,Fianna Fáil members of the 8th Dáil,Roscommon
Mr. Patrick Boland,,Farmer,Fianna Fáil members of the 8th Dáil,Leix-Offaly
Mr. Daniel Bourke,( - 13/04/1952),Wagon Builder and Former Lord Mayor of Limerick,Fianna Fáil members of the 8th Dáil,Limerick
Mr. Brian Brady,(01/01/1903 - 10/09/1949),General Merchant,Fianna Fáil members of the 8th Dáil,Donegal
Mr. Sean Brady,( - 24/02/1969),Member of Vigzol Lubricants Ltd.,Fianna Fáil members of the 8th Dáil,Dublin County
Mr. Cormac Breathnach,( - 29/05/1956),National School Teacher,Fianna Fáil members of the 8th Dáil,Dublin North
Mr. Daniel Breen,(11/08/1894 - 27/12/1969),Former Railway Employee,Fianna Fáil members of the 8th Dáil,Tipperary
Mr. Robert Briscoe,(25/09/1894 - 30/05/1969),Company Director,Fianna Fáil members of the 8th Dáil,Dublin South
Mr. William Frazer Browne,,Public Representative,Fianna Fáil members of the 8th Dáil,Leitrim-Sligo
Mr. Francis Joseph Carty,(03/04/1897 - 10/09/1942),Farmer,Fianna Fáil members of the 8th Dáil,Sligo-Mayo East
Mr. Micheál Clery,,Solicitor Irish Teacher,Fianna Fáil members of the 8th Dáil,Mayo North
Mrs. Helena Concannon,( - 27/02/1952),Author Historian Language Scholar,Fianna Fáil members of the 8th Dáil,National University of Ireland
Mr. Eamonn Cooney,( - 07/02/1975),Grocer's Assistant Commercial Traveller,Fianna Fáil members of the 8th Dáil,Dublin North
Mr. Eamonn Corbett,( - 21/08/1945),Fianna Fáil (Fianna Fáil members of the 8th Dáil),Fianna Fáil members of the 8th Dáil,Galway
Mr. Martin John Corry,(12/12/1890 - 14/02/1979),Farmer,Fianna Fáil members of the 8th Dáil,Cork East
Mr. Fred Hugh Crowley,( - 05/05/1945),Lecturer and Farmer,Fianna Fáil members of the 8th Dáil,Kerry
Mr. Tadhg Crowley,( - 12/03/1970),Merchant.,Fianna Fáil members of the 8th Dáil,Limerick
Mr. Denis Daly,( - 01/01/1965),Fianna Fáil (Fianna Fáil members of the 8th Dáil),Fianna Fáil members of the 8th Dáil,Kerry
Mr. Eamon de Valera,(14/10/1882 - 29/08/1975),Secondary Teacher,Fianna Fáil members of the 8th Dáil,Clare East
Mr. Thomas Derrig,( - 19/11/1956),Headmaster,Fianna Fáil members of the 8th Dáil,Mayo North and West
Mr. Hugh Doherty,( - 13/10/1972),Fianna Fáil (Fianna Fáil members of the 8th Dáil),Fianna Fáil members of the 8th Dáil,Donegal
Mr. Eamon Donnelly,( - 28/12/1944),Clerk Armagh Prison,Fianna Fáil members of the 8th Dáil,Leix-Offaly
Mr. Thomas Dowdall,(01/01/1870 - 07/04/1942),Company Director,Fianna Fáil members of the 8th Dáil,Cork Borough
Mr. Hugo Victor Flinn,( - 28/01/1943),Engineer,Fianna Fáil members of the 8th Dáil,Cork Borough
Mr. John Flynn,( - 22/08/1968),Farmer,Fianna Fáil members of the 8th Dáil,Kerry
Mr. Stephen Flynn,( - 24/11/1960),Fianna Fáil (Fianna Fáil members of the 8th Dáil),Fianna Fáil members of the 8th Dáil,Leitrim-Sligo
Mr. Andrew Fogarty,(13/04/1879 - 24/04/1953),Farmer,Fianna Fáil members of the 8th Dáil,Tipperary
Mr. James Geoghegan,(08/12/1886 - 26/03/1951),Senior Counsel; Supreme Court Judge,Fianna Fáil members of the 8th Dáil,Longford -Westmeath
Mr. Sean Francis Gibbons,(31/05/1883 - 19/04/1952),Fianna Fáil (Fianna Fáil members of the 8th Dáil),Fianna Fáil members of the 8th Dáil,Carlow-Kilkenny
Mr. Seán Goulding,( - 15/12/1959),Merchant and Company Director,Fianna Fáil members of the 8th Dáil,Waterford
Mr. Thomas Hales,(05/03/1892 - 29/04/1966),Fianna Fáil (Fianna Fáil members of the 8th Dáil),Fianna Fáil members of the 8th Dáil,Cork West
Mr. Thomas Harris,(01/01/1895 - 18/02/1974),Farmer,Fianna Fáil members of the 8th Dáil,Kildare
Mr. Seán Hayes,( - 16/02/1968),Farmer,Fianna Fáil members of the 8th Dáil,Tipperary
Mr. Patrick Houlihan,(25/03/1889 - 04/05/1963),Farmer,Fianna Fáil members of the 8th Dáil,Clare
Mr. Stephen Jordan,(26/12/1886 - 15/09/1975),Licensed Trader and Bootmaker County Council Official.,Fianna Fáil members of the 8th Dáil,Galway
Mr. Seamus P. Keely,(28/12/1889 - 20/03/1974),Fianna Fáil (Fianna Fáil members of the 8th Dáil),Fianna Fáil members of the 8th Dáil,Galway
Mr. Patrick Kehoe,,Farmer,Fianna Fáil members of the 8th Dáil,Wexford
Mr. James Patrick Kelly,,Accountant,Fianna Fáil members of the 8th Dáil,Meath
Mr. Thomas Kelly,(13/09/1868 - 20/04/1942),Book and Picture Dealer,Fianna Fáil members of the 8th Dáil,Dublin (St. Stephen's Green)
Mr. Michael Joseph Kennedy,( - 14/02/1965),Clerk,Fianna Fáil members of the 8th Dáil,Longford -Westmeath
Mr. Mark (Snr.) Killilea,(01/01/1896 - 29/09/1970),Farmer and Shopkeeper,Fianna Fáil members of the 8th Dáil,Galway
Mr. Michael Kilroy,,Coach Builder,Fianna Fáil members of the 8th Dáil,Mayo South
Mr. Eamon Kissane,( - 20/05/1979),Teacher Barrister at Law,Fianna Fáil members of the 8th Dáil,Kerry
Mr. Seán F. Lemass,(15/07/1899 - 11/05/1971),Outfitter,Fianna Fáil members of the 8th Dáil,Dublin South
