Mr. James Walter Beckett,( - 19/12/1938),Builder,Cumann na nGaedhael members of the 5th Dáil,Dublin South
Mr. George C. Bennett,( - 20/06/1963),Farmer,Cumann na nGaedhael members of the 5th Dáil,Limerick
Mr. Ernest Blythe,(13/04/1889 - 23/02/1975),Writer Journalist Theatre Manager,Cumann na nGaedhael members of the 5th Dáil,Monaghan North
Mr. Seamus Aloysius Bourke,(14/06/1893 - 01/01/1967),Barrister-at-Law,Cumann na nGaedhael members of the 5th Dáil,Tipperary Mid
Mr. Sean Broderick,(01/01/1890 - 20/08/1953),Building Contractor,Cumann na nGaedhael members of the 5th Dáil,Galway
Mr. John Joseph Byrne,(23/09/1878 - 29/07/1942),Hardware Merchant.,Cumann na nGaedhael members of the 5th Dáil,Dublin North
Ms. Margaret Collins-O'Driscoll,( - 17/06/1945),School Principal school teacher,Cumann na nGaedhael members of the 5th Dáil,Dublin North
Mr. Martin Conlon,( - 23/01/1966),Dublin Corporation Official Auctioneer,Cumann na nGaedhael members of the 5th Dáil,Roscommon
Mr. William T. Cosgrave,(06/06/1880 - 16/11/1965),Businessman,Cumann na nGaedhael members of the 5th Dáil,Kilkenny North
Mr. James Crowley,( - 21/01/1946),Veterinary Surgeon,Cumann na nGaedhael members of the 5th Dáil,Kerry North
Mr. Michael Davis,( - 30/03/1944),Merchant,Cumann na nGaedhael members of the 5th Dáil,Mayo North
Mr. Eugene Doherty,(22/01/1862 - 01/05/1937),Retired Civil Servant,Cumann na nGaedhael members of the 5th Dáil,Donegal
Mr. James Nicholas Dolan,( - 14/07/1955),Merchant,Cumann na nGaedhael members of the 5th Dáil,Leitrim
Mr. Peadar S. Doyle,( - 04/08/1956),Engineer,Cumann na nGaedhael members of the 5th Dáil,Dublin South
Mr. Edmund Duggan,( - 06/06/1936),Solicitor,Cumann na nGaedhael members of the 5th Dáil,Meath South
Mr. James Dwyer,( - 17/12/1932),Farmer and Cattle Exporter,Cumann na nGaedhael members of the 5th Dáil,Leix-Offaly
Mr. Barry M. Egan,( - 03/03/1954),Jeweller,Cumann na nGaedhael members of the 5th Dáil,Cork Borough
Mr. Desmond FitzGerald,(13/02/1888 - 09/04/1947),Politician and Philosopher,Cumann na nGaedhael members of the 5th Dáil,Dublin (Pembroke)
Mr. James Fitzgerald-Kenney,(01/01/1878 - 21/10/1956),Senior Counsel,Cumann na nGaedhael members of the 5th Dáil,Mayo South
Mr. Denis J. Gorey,(25/05/1874 - 20/02/1940),Farmer,Cumann na nGaedhael members of the 5th Dáil,Carlow-Kilkenny
