Mr. Frank Aiken,(13/02/1898 - 18/05/1983),Farmer,Fianna Fáil members of the 13th Dáil,Louth
Mr. Denis Allen,(02/01/1896 - 29/03/1961),Farmer,Fianna Fáil members of the 13th Dáil,Wexford
Mr. Gerald Bartley,(12/06/1898 - 10/05/1974),Insurance Official Barrister-at-law,Fianna Fáil members of the 13th Dáil,Galway
Mr. Patrick Beegan,(26/05/1895 - 02/02/1959),Farmer,Fianna Fáil members of the 13th Dáil,Galway
Mr. Neal Blaney,(01/11/1893 - 30/10/1948),Farmer and Company Director,Fianna Fáil members of the 13th Dáil,Donegal
Mr. Neil T. Blaney,(30/10/1922 - 08/11/1995),Businessman and Farmer,Fianna Fáil members of the 13th Dáil,Donegal East
Mr. Gerald Boland,(25/05/1885 - 05/01/1973),Engineer,Fianna Fáil members of the 13th Dáil,Roscommon
Mr. Patrick Boland,,Farmer,Fianna Fáil members of the 13th Dáil,Leix-Offaly
Mr. Daniel Bourke,( - 13/04/1952),Wagon Builder and Former Lord Mayor of Limerick,Fianna Fáil members of the 13th Dáil,Limerick
Mr. Brian Brady,(01/01/1903 - 10/09/1949),General Merchant,Fianna Fáil members of the 13th Dáil,Donegal
Mr. Sean Brady,( - 24/02/1969),Member of Vigzol Lubricants Ltd.,Fianna Fáil members of the 13th Dáil,Dublin County
Mr. Cormac Breathnach,( - 29/05/1956),National School Teacher,Fianna Fáil members of the 13th Dáil,Dublin North
Mr. Daniel Breen,(11/08/1894 - 27/12/1969),Former Railway Employee,Fianna Fáil members of the 13th Dáil,Tipperary
Mr. Thomas Brennan,( - 22/01/1953),Building Contractor,Fianna Fáil members of the 13th Dáil,Wicklow
Mr. Cormac Breslin,(25/04/1902 - 23/01/1978),General Merchant,Fianna Fáil members of the 13th Dáil,Donegal West
Mr. Robert Briscoe,(25/09/1894 - 30/05/1969),Company Director,Fianna Fáil members of the 13th Dáil,Dublin South
Mr. Sean Buckley,( - 01/01/1963),Contractor and Builder,Fianna Fáil members of the 13th Dáil,Cork West
Mr. Patrick J. Burke,(26/01/1904 - 09/09/1985),Hospital Official,Fianna Fáil members of the 13th Dáil,Dublin County
Mr. Bernard Butler,(01/09/1886 - 13/03/1959),Principal Teacher,Fianna Fáil members of the 13th Dáil,Dublin Townships
Mr. Thomas Carter,(29/03/1882 - 11/09/1951),Shopkeeper,Fianna Fáil members of the 13th Dáil,Leitrim-Roscommon North
Mr. Erskine Hamilton Childers,(11/12/1905 - 17/11/1974),Company Director,Fianna Fáil members of the 13th Dáil,Athlone-Longford
Mr. Harry Colley,(21/02/1891 - 18/01/1972),Rate Collector,Fianna Fáil members of the 13th Dáil,Dublin North-East
Mr. James J. Collins,(31/10/1900 - 01/09/1967),Fianna Fáil (Fianna Fáil members of the 13th Dáil),Fianna Fáil members of the 13th Dáil,Limerick West
Mr. Martin John Corry,(12/12/1890 - 14/02/1979),Farmer,Fianna Fáil members of the 13th Dáil,Cork East
Ms. Honor Mary Crowley,(19/10/1903 - 18/10/1966),Social Worker,Fianna Fáil members of the 13th Dáil,Kerry South
Mr. Michael J. Davern,(22/07/1900 - 25/07/1973),Publican,Fianna Fáil members of the 13th Dáil,Tipperary South
Mr. Eamon de Valera,(14/10/1882 - 29/08/1975),Secondary Teacher,Fianna Fáil members of the 13th Dáil,Clare East
Vivion de Valera,(13/12/1910 - 16/02/1982),Senior Counsel Managing Director Irish Press Ltd,Fianna Fáil members of the 13th Dáil,Dublin North-West
Mr. Thomas Derrig,( - 19/11/1956),Headmaster,Fianna Fáil members of the 13th Dáil,Mayo North and West
Mr. Stephen Flynn,( - 24/11/1960),Fianna Fáil (Fianna Fáil members of the 13th Dáil),Fianna Fáil members of the 13th Dáil,Leitrim-Sligo
Mr. John Friel,(01/08/1889 - 01/10/1963),Merchant,Fianna Fáil members of the 13th Dáil,Donegal East
Mr. Eugene Gilbride,(01/10/1892 - 11/03/1972),Farmer,Fianna Fáil members of the 13th Dáil,Sligo-Leitrim
Mr. Patrick J. Gorry,(14/07/1896 - 23/10/1965),Farmer,Fianna Fáil members of the 13th Dáil,Leix-Offaly
Mr. Thomas Harris,(01/01/1895 - 18/02/1974),Farmer,Fianna Fáil members of the 13th Dáil,Kildare
Mr. Michael Hilliard,(11/03/1903 - 01/01/1982),Livestock Trader,Fianna Fáil members of the 13th Dáil,Meath-Westmeath
Mr. Michael Joseph Kennedy,( - 14/02/1965),Clerk,Fianna Fáil members of the 13th Dáil,Longford -Westmeath
Mr. Mark (Snr.) Killilea,(01/01/1896 - 29/09/1970),Farmer and Shopkeeper,Fianna Fáil members of the 13th Dáil,Galway
Mr. James Kilroy,( - 05/01/1954),Farmer,Fianna Fáil members of the 13th Dáil,Mayo North
Mr. Eamon Kissane,( - 20/05/1979),Teacher Barrister at Law,Fianna Fáil members of the 13th Dáil,Kerry
Mr. Michael F. Kitt,(13/09/1914 - 24/12/1974),Teacher,Fianna Fáil members of the 13th Dáil,Galway North
Mr. Robert Lahiffe,( - 08/03/1975),Farmer,Fianna Fáil members of the 13th Dáil,Galway South
