Mr. Liam (William) Ahern,(12/01/1916 - 13/07/1974),Farmer and Agricultural Contractor,Fianna Fáil members of the 20th Dáil,Labour Panel
Mr. Lorcan Allen,(27/03/1940 - ),Farmer,Fianna Fáil members of the 20th Dáil,Wexford
Mr. David Andrews,(15/03/1935 - ),Minister Senior Counsel,Fianna Fáil members of the 20th Dáil,Dún Laoghaire and Rathdown
Mr. Sylvester Barrett,(18/05/1926 - 08/05/2002),Auctioneer,Fianna Fáil members of the 20th Dáil,Clare
Mr. Philip A. Brady,(10/06/1898 - 06/01/1995),Chemist,Fianna Fáil members of the 20th Dáil,Dublin South-Central
Mr. Joseph Brennan,(14/02/1912 - 13/07/1980),Merchant and Auctioneer,Fianna Fáil members of the 20th Dáil,Donegal West
Mr. Cormac Breslin,(25/04/1902 - 23/01/1978),General Merchant,Fianna Fáil members of the 20th Dáil,Donegal West
Mr. Ben Briscoe,(11/03/1934 - ),Full-Time Public Representative,Fianna Fáil members of the 20th Dáil,Dublin South-West
Mr. Sean Brosnan,(21/12/1916 - 18/04/1979),Barrister-at-Law,Fianna Fáil members of the 20th Dáil,Cork North-East
Mr. Séan Browne,(03/05/1916 - 27/03/1996),Printer,Fianna Fáil members of the 20th Dáil,Wexford
Mr. Ruairí Brugha,(15/10/1917 - 30/01/2006),Company Director,Fianna Fáil members of the 20th Dáil,Industrial and Commercial Panel
Mr. Raphael P. (Ray) Burke,(30/09/1943 - ),Estate Agent,Fianna Fáil members of the 20th Dáil,Dublin County North
Mr. John Callanan,(20/05/1910 - 15/06/1982),Farmer,Fianna Fáil members of the 20th Dáil,Clare-Galway South
Mr. Sean Calleary,(27/10/1931 - ),Civil Engineer,Fianna Fáil members of the 20th Dáil,Mayo East
Mr. Frank Carter,(27/07/1910 - 17/07/1988),Shopkeeper,Fianna Fáil members of the 20th Dáil,Longford -Westmeath
Mr. Erskine Hamilton Childers,(11/12/1905 - 17/11/1974),Company Director,Fianna Fáil members of the 20th Dáil,Athlone-Longford
Mr. George Colley,(18/10/1925 - 17/09/1983),Solicitor,Fianna Fáil members of the 20th Dáil,Dublin North-East
Mr. Gerard Collins,(16/10/1938 - ),Vocational Teacher,Fianna Fáil members of the 20th Dáil,Limerick West
Mr. Gerard C. Connolly,(16/04/1937 - ),Farmer Auctioneer Businessman and Company Director,Fianna Fáil members of the 20th Dáil,Laoighis-Offaly
Mr. Brendan Crinion,(11/09/1923 - 02/07/1989),Farmer,Fianna Fáil members of the 20th Dáil,Kildare
