Mr. Richard Sidney Anthony,,Linotype Operator,Independent members of the 11th Dáil,Cork Borough
Mr. Alfred Byrne,(17/03/1882 - 13/03/1956),Company Director,Independent members of the 11th Dáil,Dublin Mid West
Mr. Alfred Patrick Byrne,( - 26/07/1952),Clerk,Independent members of the 11th Dáil,Dublin North-West
Mr. John James Cole,( - 24/05/1959),Farmer and Auctioneer,Independent members of the 11th Dáil,Cavan
Mr. James M. Dillon,(26/09/1902 - 10/02/1986),Barrister-at-Law Farmer and Merchant,Independent members of the 11th Dáil,Donegal
Mr. Bernard John (Ben) Maguire,,Farmer and Director of City of Dublin Assurance Company,Independent members of the 11th Dáil,Leitrim-Sligo
