Mr. Bernard Allen,(09/09/1944 - ),Full-Time Public Representative formerly Laboratory Technologist,Fine Gael members of the 25th Dáil,Cork North-Central
Mrs. Monica Barnes,(12/02/1936 - ),Full-Time Public Representative,Fine Gael members of the 25th Dáil,Labour Panel
Mr. Sean Barrett,(09/08/1944 - ),Public Representative Company Director and Insurance Broker (FLIA),Fine Gael members of the 25th Dáil,Dún Laoghaire
Mr. Peter Barry,(10/08/1928 - ),Tea Merchant,Fine Gael members of the 25th Dáil,Cork City South-East
Mr. Michael Begley,(22/08/1932 - ),Carpenter,Fine Gael members of the 25th Dáil,Kerry South
Mr. George Birmingham,(03/08/1954 - ),Barrister-at-Law,Fine Gael members of the 25th Dáil,Dublin North Central
Mr. John Boland,(30/11/1944 - 14/08/2000),Full-Time Public Representative,Fine Gael members of the 25th Dáil,Labour Panel
Mr. Andrew Boylan,(01/01/1939 - ),Public Representative Farmer,Fine Gael members of the 25th Dáil,Cavan-Monaghan
Mr. John Bruton,(18/05/1947 - ),Public Representative Lawyer Farmer Economist,Fine Gael members of the 25th Dáil,Meath
Mr. Richard Bruton,(15/03/1953 - ),Full-Time Public Representative formerly Economist,Fine Gael members of the 25th Dáil,Agricultural Panel
Mr. Liam Burke,(02/02/1928 - 21/08/2005),Full-Time Public Representative Garage Proprietor,Fine Gael members of the 25th Dáil,Cork City North-West
Mr. Donal Carey,(15/10/1937 - ),Full-Time Public Representative formerly Cost Controller,Fine Gael members of the 25th Dáil,Labour Panel
Mr. Paul Connaughton,(06/06/1944 - ),Full-Time Public Representative Farmer formerly General Manager Tuam Livestock Mart,Fine Gael members of the 25th Dáil,Agricultural Panel
Mr. Patrick M. Cooney,(02/03/1931 - ),Solicitor,Fine Gael members of the 25th Dáil,Longford -Westmeath
Mr. Michael Joe Cosgrave,(09/03/1938 - ),Full-Time Public Representative formerly Company Director,Fine Gael members of the 25th Dáil,Dublin (Clontarf)
Mr. Donal Creed,(07/09/1924 - ),Farm owner,Fine Gael members of the 25th Dáil,Cork Mid
Mr. Kieran Crotty,(30/08/1930 - ),Baker,Fine Gael members of the 25th Dáil,Carlow-Kilkenny
Mr. Frank Crowley,(29/05/1939 - ),Full-Time Public Representative,Fine Gael members of the 25th Dáil,Cork North-West
Mr. Austin Deasy,(26/08/1936 - ),Full-Time Public Representative formerly Teacher,Fine Gael members of the 25th Dáil,Nominated by the Taoiseach
Mr. Jimmy Deenihan,(11/09/1952 - ),Full-Time Public Representative formerly Teacher,Fine Gael members of the 25th Dáil,Nominated by the Taoiseach
Mr. John F. Donnellan,(27/03/1937 - ),Farmer,Fine Gael members of the 25th Dáil,Galway East
Mr. Avril Doyle,(18/04/1949 - ),Public Representative,Fine Gael members of the 25th Dáil,Wexford
Mr. Alan Dukes,(20/04/1945 - ),Full-Time Public Representative formerly Economist.,Fine Gael members of the 25th Dáil,Kildare
Mr. Bernard Durkan,(26/03/1945 - ),Full-Time Public Representative formerly Agricultural Contractor and Farmer,Fine Gael members of the 25th Dáil,Kildare
Mr. Tom.W Enright,(26/07/1940 - ),Public Representative Solicitor.,Fine Gael members of the 25th Dáil,Laoighis-Offaly
Mr. John V. Farrelly,(04/11/1954 - ),Public Representative Auctioneer,Fine Gael members of the 25th Dáil,Meath
