Mr. Alfred Byrne,(17/03/1882 - 13/03/1956),Company Director,Independent members of the 15th Dáil,Dublin Mid West
Mr. Patrick Byrne,(02/04/1925 - ),Accountant,Independent members of the 15th Dáil,Dublin North-East
Mr. Thomas Byrne,( - 16/03/1978),Traveller,Independent members of the 15th Dáil,Dublin North-West
Mr. James M. Dillon,(26/09/1902 - 10/02/1986),Barrister-at-Law Farmer and Merchant,Independent members of the 15th Dáil,Donegal
Mr. Bernard John (Ben) Maguire,,Farmer and Director of City of Dublin Assurance Company,Independent members of the 15th Dáil,Leitrim-Sligo
Mr. John (Jack) McQuillan,(30/08/1920 - 08/03/1998),Member of Local Authority Trade Union Official and Former Army Officer,Independent members of the 15th Dáil,Roscommon
Mr. William Alexander Watson Sheldon,(18/01/1907 - ),Farmer,Independent members of the 15th Dáil,Donegal East
