Mr. James Walter Beckett,( - 19/12/1938),Builder,Cumann na nGaedhael members of the 8th Dáil,Dublin South
Mr. Patrick Belton,,Farmer and Builder,Cumann na nGaedhael members of the 8th Dáil,Dublin County
Mr. George C. Bennett,( - 20/06/1963),Farmer,Cumann na nGaedhael members of the 8th Dáil,Limerick
Mr. Seamus Aloysius Bourke,(14/06/1893 - 01/01/1967),Barrister-at-Law,Cumann na nGaedhael members of the 8th Dáil,Tipperary Mid
Mr. Michael Brennan,( - 06/10/1970),Farmer,Cumann na nGaedhael members of the 8th Dáil,Roscommon
Mr. Sean Broderick,(01/01/1890 - 20/08/1953),Building Contractor,Cumann na nGaedhael members of the 8th Dáil,Galway
Mr. William Joseph Broderick,(20/05/1877 - 01/06/1957),Farmer and Butcher,Cumann na nGaedhael members of the 8th Dáil,Cork East
Mr. James Michael Burke,( - 10/09/1936),Barrister,Cumann na nGaedhael members of the 8th Dáil,Cork West
Mr. Patrick Burke,(16/04/1879 - 07/02/1945),Farmer,Cumann na nGaedhael members of the 8th Dáil,Clare
Mr. William T. Cosgrave,(06/06/1880 - 16/11/1965),Businessman,Cumann na nGaedhael members of the 8th Dáil,Kilkenny North
Mr. John Aloysius Costello,(20/06/1891 - 05/01/1976),Senior Counsel,Cumann na nGaedhael members of the 8th Dáil,Dublin County
Mr. Patrick Daly,,Licensed Vintner and Farmer,Cumann na nGaedhael members of the 8th Dáil,Cork East
Mr. Michael Davis,( - 30/03/1944),Merchant,Cumann na nGaedhael members of the 8th Dáil,Mayo North
Mr. Robert Emmet Davitt,(12/12/1899 - 26/09/1981),Medical Practitioner,Cumann na nGaedhael members of the 8th Dáil,Meath
Mr. William Desmond,( - 05/09/1941),Hotel Proprietor,Cumann na nGaedhael members of the 8th Dáil,Cork Borough
Mr. Henry Morgan Dockrell,( - 26/10/1955),Company Director,Cumann na nGaedhael members of the 8th Dáil,Dublin County
Mr. James Nicholas Dolan,( - 14/07/1955),Merchant,Cumann na nGaedhael members of the 8th Dáil,Leitrim
Mr. Peadar S. Doyle,( - 04/08/1956),Engineer,Cumann na nGaedhael members of the 8th Dáil,Dublin South
Mr. Osmond Thomas Grattan Esmonde,(04/04/1896 - 22/07/1936),Diplomat and Politician,Cumann na nGaedhael members of the 8th Dáil,Wexford
Mr. Desmond FitzGerald,(13/02/1888 - 09/04/1947),Politician and Philosopher,Cumann na nGaedhael members of the 8th Dáil,Dublin (Pembroke)
Mr. James Fitzgerald-Kenney,(01/01/1878 - 21/10/1956),Senior Counsel,Cumann na nGaedhael members of the 8th Dáil,Mayo South
Mr. Patrick J. Hogan,( - 14/07/1936),Solicitor and Farmer,Cumann na nGaedhael members of the 8th Dáil,Galway
Mr. John Keating,,Farmer and Livestock Shipper,Cumann na nGaedhael members of the 8th Dáil,Wexford
Mr. Fionán Lynch,(17/03/1889 - 03/06/1966),Barrister-at-law,Cumann na nGaedhael members of the 8th Dáil,Kerry South
