Mr. Frank Aiken,(13/02/1898 - 18/05/1983),Farmer,Fianna Fáil members of the 17th Dáil,Louth
Mr. Lorcan Allen,(27/03/1940 - ),Farmer,Fianna Fáil members of the 17th Dáil,Wexford
Mr. Gerald Bartley,(12/06/1898 - 10/05/1974),Insurance Official Barrister-at-law,Fianna Fáil members of the 17th Dáil,Galway
Mr. Neil T. Blaney,(30/10/1922 - 08/11/1995),Businessman and Farmer,Fianna Fáil members of the 17th Dáil,Donegal East
Mr. Kevin Boland,(15/10/1917 - 23/09/2001),Civil Engineer,Fianna Fáil members of the 17th Dáil,Dublin County
Mr. Lionel O. Booth,(12/06/1914 - 31/05/1997),Company Director,Fianna Fáil members of the 17th Dáil,Dún Laoghaire and Rathdown
Mr. Terence Boylan,(10/09/1910 - 10/01/1991),Businessman,Fianna Fáil members of the 17th Dáil,Kildare
Mr. Philip A. Brady,(10/06/1898 - 06/01/1995),Chemist,Fianna Fáil members of the 17th Dáil,Dublin South-Central
Mr. Sean Brady,( - 24/02/1969),Member of Vigzol Lubricants Ltd.,Fianna Fáil members of the 17th Dáil,Dublin County
Mr. Daniel Breen,(11/08/1894 - 27/12/1969),Former Railway Employee,Fianna Fáil members of the 17th Dáil,Tipperary
Mr. Joseph Brennan,(14/02/1912 - 13/07/1980),Merchant and Auctioneer,Fianna Fáil members of the 17th Dáil,Donegal West
Mr. Paudge Brennan,(18/02/1922 - 10/06/1998),Farmer,Fianna Fáil members of the 17th Dáil,Wicklow
Mr. Cormac Breslin,(25/04/1902 - 23/01/1978),General Merchant,Fianna Fáil members of the 17th Dáil,Donegal West
Mr. Robert Briscoe,(25/09/1894 - 30/05/1969),Company Director,Fianna Fáil members of the 17th Dáil,Dublin South
Mr. Patrick J. Burke,(26/01/1904 - 09/09/1985),Hospital Official,Fianna Fáil members of the 17th Dáil,Dublin County
Mr. Phelim A. Calleary,(03/10/1895 - 04/01/1974),Engineer,Fianna Fáil members of the 17th Dáil,Mayo North
Mr. Frank Carter,(27/07/1910 - 17/07/1988),Shopkeeper,Fianna Fáil members of the 17th Dáil,Longford -Westmeath
Mr. Michael Carty,(16/12/1916 - 23/04/1975),Teacher,Fianna Fáil members of the 17th Dáil,Galway South
Mr. Erskine Hamilton Childers,(11/12/1905 - 17/11/1974),Company Director,Fianna Fáil members of the 17th Dáil,Athlone-Longford
Mr. Patrick Clohessy,(16/04/1908 - 06/08/1971),Farmer,Fianna Fáil members of the 17th Dáil,Limerick East
Mr. George Colley,(18/10/1925 - 17/09/1983),Solicitor,Fianna Fáil members of the 17th Dáil,Dublin North-East
Mr. James J. Collins,(31/10/1900 - 01/09/1967),Fianna Fáil (Fianna Fáil members of the 17th Dáil),Fianna Fáil members of the 17th Dáil,Limerick West
Mr. Martin John Corry,(12/12/1890 - 14/02/1979),Farmer,Fianna Fáil members of the 17th Dáil,Cork East
Mr. Edward Cotter,(27/06/1902 - 11/12/1972),Fianna Fáil (Fianna Fáil members of the 17th Dáil),Fianna Fáil members of the 17th Dáil,Cork West
Mr. Brendan Crinion,(11/09/1923 - 02/07/1989),Farmer,Fianna Fáil members of the 17th Dáil,Kildare
Ms. Honor Mary Crowley,(19/10/1903 - 18/10/1966),Social Worker,Fianna Fáil members of the 17th Dáil,Kerry South
Mr. Patrick J. Cummins,(10/06/1921 - 05/03/2009),Dublin Gas Company Official,Fianna Fáil members of the 17th Dáil,Dublin South-Central
Mr. Liam Cunningham,(25/01/1915 - 29/02/1976),Teacher,Fianna Fáil members of the 17th Dáil,Donegal East
