Mr. James Walter Beckett,( - 19/12/1938),Builder,Fine Gael members of the 10th Dáil,Dublin South
Mr. Patrick Belton,,Farmer and Builder,Fine Gael members of the 10th Dáil,Dublin County
Mr. George C. Bennett,( - 20/06/1963),Farmer,Fine Gael members of the 10th Dáil,Limerick
Mr. Ernest Edmondson Benson,( - 17/03/1975),Company Director,Fine Gael members of the 10th Dáil,Dublin Townships
Mr. Brook Brasier,(01/02/1879 - 31/08/1940),Peace Commissioner,Fine Gael members of the 10th Dáil,Cork East
Mr. Michael Brennan,( - 06/10/1970),Farmer,Fine Gael members of the 10th Dáil,Roscommon
Mr. Sean Broderick,(01/01/1890 - 20/08/1953),Building Contractor,Fine Gael members of the 10th Dáil,Galway
Mr. William Joseph Broderick,(20/05/1877 - 01/06/1957),Farmer and Butcher,Fine Gael members of the 10th Dáil,Cork East
Mr. Patrick Browne,( - 24/07/1970),Farmer and Merchant,Fine Gael members of the 10th Dáil,Mayo North
Mr. Patrick Burke,(16/04/1879 - 07/02/1945),Farmer,Fine Gael members of the 10th Dáil,Clare
Mr. James Coburn,( - 05/12/1953),Builders Foreman,Fine Gael members of the 10th Dáil,Louth
Mr. William T. Cosgrave,(06/06/1880 - 16/11/1965),Businessman,Fine Gael members of the 10th Dáil,Kilkenny North
Mr. John Aloysius Costello,(20/06/1891 - 05/01/1976),Senior Counsel,Fine Gael members of the 10th Dáil,Dublin County
Mr. Richard Curran,(18/11/1879 - 27/01/1961),Farmer,Fine Gael members of the 10th Dáil,Tipperary
Mr. Patrick Daly,,Licensed Vintner and Farmer,Fine Gael members of the 10th Dáil,Cork East
Mr. James M. Dillon,(26/09/1902 - 10/02/1986),Barrister-at-Law Farmer and Merchant,Fine Gael members of the 10th Dáil,Donegal
Mr. Henry Morgan Dockrell,( - 26/10/1955),Company Director,Fine Gael members of the 10th Dáil,Dublin County
Mr. Peadar S. Doyle,( - 04/08/1956),Engineer,Fine Gael members of the 10th Dáil,Dublin South
Sir John Esmonde,(15/12/1893 - 06/07/1958),Barrister-at-Law and Farmer,Fine Gael members of the 10th Dáil,Wexford
Mr. Charles Fagan,(01/10/1881 - 08/05/1974),Farmer and Salesmaster,Fine Gael members of the 10th Dáil,Longford -Westmeath
Mr. James Fitzgerald-Kenney,(01/01/1878 - 21/10/1956),Senior Counsel,Fine Gael members of the 10th Dáil,Mayo South
Capt. Patrick Giles,(01/01/1900 - 13/03/1965),Irish Army Captain,Fine Gael members of the 10th Dáil,Meath-Westmeath
Mr. Denis J. Gorey,(25/05/1874 - 20/02/1940),Farmer,Fine Gael members of the 10th Dáil,Carlow-Kilkenny
Mr. James Hughes,( - 01/01/1948),Farmer,Fine Gael members of the 10th Dáil,Carlow-Kildare
Mr. John Keating,,Farmer and Livestock Shipper,Fine Gael members of the 10th Dáil,Wexford
Mr. Timothy Linehan,(04/08/1905 - ),Solicitor,Fine Gael members of the 10th Dáil,Cork North
Mr. Fionán Lynch,(17/03/1889 - 03/06/1966),Barrister-at-law,Fine Gael members of the 10th Dáil,Kerry South
Mr. Seán (Major-General) Mac Eoin,( - 07/07/1973),Former Army Officer,Fine Gael members of the 10th Dáil,Longford -Westmeath
Mr. Michael Óg McFadden,(01/01/1885 - 27/08/1958),Merchant and Auctioneer,Fine Gael members of the 10th Dáil,Donegal
Mr. Patrick McGilligan,(12/04/1889 - 15/11/1979),Lawyer and University Professor,Fine Gael members of the 10th Dáil,National University of Ireland
Mr. Patrick McGovern (Gregory),( - 07/02/1949),Farmer,Fine Gael members of the 10th Dáil,Cavan
Mr. Daniel McMenamin,(01/03/1882 - ),Barrister-at-law,Fine Gael members of the 10th Dáil,Donegal
Mr. Joseph W. Mongan,(11/03/1880 - 12/03/1951),Hotel Proprietor,Fine Gael members of the 10th Dáil,Galway
Mr. Daniel Morrissey,( - 01/01/1981),Auctioneer,Fine Gael members of the 10th Dáil,Tipperary Mid North and South
General Richard Mulcahy,(10/05/1886 - 16/12/1971),Company Director,Fine Gael members of the 10th Dáil,Dublin (Clontarf)
Mr. Martin Nally,( - 01/08/1966),Farmer,Fine Gael members of the 10th Dáil,Mayo South
Mr. Timothy Joseph O'Donovan,(04/04/1881 - 01/01/1951),Farmer,Fine Gael members of the 10th Dáil,Cork West
Mr. Thomas Francis (Snr.) O'Higgins,( - 01/11/1953),Medical Practitioner,Fine Gael members of the 10th Dáil,Dublin North
Mr. Eamonn O'Neill,( - 03/11/1954),Company Director,Fine Gael members of the 10th Dáil,Cork West
Mr. John Marcus O'Sullivan,(18/02/1881 - 09/02/1948),University Professor,Fine Gael members of the 10th Dáil,Kerry
Bridget Mary Redmond,( - 03/05/1952),Landowner,Fine Gael members of the 10th Dáil,Waterford
Mr. James Reidy,( - 07/12/1963),Coal Merchant,Fine Gael members of the 10th Dáil,Limerick
Ms. Mary Reynolds,(10/10/1889 - 29/08/1974),Farmer Grocer and Spirit Merchant,Fine Gael members of the 10th Dáil,Leitrim-Sligo
Mr. Patrick James Rogers,(01/02/1900 - 22/03/1963),Farmer,Fine Gael members of the 10th Dáil,Leitrim-Sligo
Colonel Jeremiah Ryan,(30/07/1891 - ),Farmer,Fine Gael members of the 10th Dáil,Tipperary
