Mr. Frank Aiken,(13/02/1898 - 18/05/1983),Farmer,Fianna Fáil members of the 7th Dáil,Louth
Mr. Denis Allen,(02/01/1896 - 29/03/1961),Farmer,Fianna Fáil members of the 7th Dáil,Wexford
Mr. Gerald Bartley,(12/06/1898 - 10/05/1974),Insurance Official Barrister-at-law,Fianna Fáil members of the 7th Dáil,Galway
Mr. Patrick Beegan,(26/05/1895 - 02/02/1959),Farmer,Fianna Fáil members of the 7th Dáil,Galway
Mr. Neal Blaney,(01/11/1893 - 30/10/1948),Farmer and Company Director,Fianna Fáil members of the 7th Dáil,Donegal
Mr. Gerald Boland,(25/05/1885 - 05/01/1973),Engineer,Fianna Fáil members of the 7th Dáil,Roscommon
Mr. Patrick Boland,,Farmer,Fianna Fáil members of the 7th Dáil,Leix-Offaly
Mr. Daniel Bourke,( - 13/04/1952),Wagon Builder and Former Lord Mayor of Limerick,Fianna Fáil members of the 7th Dáil,Limerick
Mr. Brian Brady,(01/01/1903 - 10/09/1949),General Merchant,Fianna Fáil members of the 7th Dáil,Donegal
Mr. Sean Brady,( - 24/02/1969),Member of Vigzol Lubricants Ltd.,Fianna Fáil members of the 7th Dáil,Dublin County
Mr. Cormac Breathnach,( - 29/05/1956),National School Teacher,Fianna Fáil members of the 7th Dáil,Dublin North
Mr. Daniel Breen,(11/08/1894 - 27/12/1969),Former Railway Employee,Fianna Fáil members of the 7th Dáil,Tipperary
Mr. Robert Briscoe,(25/09/1894 - 30/05/1969),Company Director,Fianna Fáil members of the 7th Dáil,Dublin South
Mr. William Frazer Browne,,Public Representative,Fianna Fáil members of the 7th Dáil,Leitrim-Sligo
Mr. Frank Carney,(25/04/1896 - 19/10/1932),Chief Supplies Officer National Army,Fianna Fáil members of the 7th Dáil,Donegal
Mr. Francis Joseph Carty,(03/04/1897 - 10/09/1942),Farmer,Fianna Fáil members of the 7th Dáil,Sligo-Mayo East
Mr. Micheál Clery,,Solicitor Irish Teacher,Fianna Fáil members of the 7th Dáil,Mayo North
Mr. James Colbert,,Farmer,Fianna Fáil members of the 7th Dáil,Limerick
Mr. Eamonn Cooney,( - 07/02/1975),Grocer's Assistant Commercial Traveller,Fianna Fáil members of the 7th Dáil,Dublin North
Mr. Martin John Corry,(12/12/1890 - 14/02/1979),Farmer,Fianna Fáil members of the 7th Dáil,Cork East
Mr. Fred Hugh Crowley,( - 05/05/1945),Lecturer and Farmer,Fianna Fáil members of the 7th Dáil,Kerry
Mr. Tadhg Crowley,( - 12/03/1970),Merchant.,Fianna Fáil members of the 7th Dáil,Limerick
Mr. Eamon de Valera,(14/10/1882 - 29/08/1975),Secondary Teacher,Fianna Fáil members of the 7th Dáil,Clare East
Mr. Thomas Derrig,( - 19/11/1956),Headmaster,Fianna Fáil members of the 7th Dáil,Mayo North and West
Mr. Thomas Dowdall,(01/01/1870 - 07/04/1942),Company Director,Fianna Fáil members of the 7th Dáil,Cork Borough
Mr. Hugo Victor Flinn,( - 28/01/1943),Engineer,Fianna Fáil members of the 7th Dáil,Cork Borough
Mr. John Flynn,( - 22/08/1968),Farmer,Fianna Fáil members of the 7th Dáil,Kerry
Mr. Stephen Flynn,( - 24/11/1960),Fianna Fáil (Fianna Fáil members of the 7th Dáil),Fianna Fáil members of the 7th Dáil,Leitrim-Sligo
Mr. Andrew Fogarty,(13/04/1879 - 24/04/1953),Farmer,Fianna Fáil members of the 7th Dáil,Tipperary
Mr. James Geoghegan,(08/12/1886 - 26/03/1951),Senior Counsel; Supreme Court Judge,Fianna Fáil members of the 7th Dáil,Longford -Westmeath
Mr. Sean Francis Gibbons,(31/05/1883 - 19/04/1952),Fianna Fáil (Fianna Fáil members of the 7th Dáil),Fianna Fáil members of the 7th Dáil,Carlow-Kilkenny
Mr. Francis Gormley,,Secretary of Dáil Éireann Courts pre-Treaty,Fianna Fáil members of the 7th Dáil,Longford -Westmeath
Mr. Patrick J. Gorry,(14/07/1896 - 23/10/1965),Farmer,Fianna Fáil members of the 7th Dáil,Leix-Offaly
Mr. Seán Goulding,( - 15/12/1959),Merchant and Company Director,Fianna Fáil members of the 7th Dáil,Waterford
Mr. Thomas Harris,(01/01/1895 - 18/02/1974),Farmer,Fianna Fáil members of the 7th Dáil,Kildare
Mr. Seán Hayes,( - 16/02/1968),Farmer,Fianna Fáil members of the 7th Dáil,Tipperary
Mr. Francis Humphreys,( - 19/04/1961),Medical Practitioner,Fianna Fáil members of the 7th Dáil,Carlow-Kilkenny
Mr. Stephen Jordan,(26/12/1886 - 15/09/1975),Licensed Trader and Bootmaker County Council Official.,Fianna Fáil members of the 7th Dáil,Galway
Mr. James Patrick Kelly,,Accountant,Fianna Fáil members of the 7th Dáil,Meath
Mr. Michael Joseph Kennedy,( - 14/02/1965),Clerk,Fianna Fáil members of the 7th Dáil,Longford -Westmeath
Mr. Raphael Patrick (Ralph) Keyes,,Cinema Proprietor,Fianna Fáil members of the 7th Dáil,Elected
Mr. Michael Kilroy,,Coach Builder,Fianna Fáil members of the 7th Dáil,Mayo South
Mr. Eamon Kissane,( - 20/05/1979),Teacher Barrister at Law,Fianna Fáil members of the 7th Dáil,Kerry
Mr. Seán F. Lemass,(15/07/1899 - 11/05/1971),Outfitter,Fianna Fáil members of the 7th Dáil,Dublin South
Mr. Patrick J. Little,(17/06/1884 - 16/05/1963),Solicitor and Journalist,Fianna Fáil members of the 7th Dáil,Waterford
Mr. James B. Lynch,( - 12/03/1954),Physician and Surgeon,Fianna Fáil members of the 7th Dáil,Dublin South
Mr. Seán MacEntee,( - 10/01/1984),Engineer,Fianna Fáil members of the 7th Dáil,Monaghan South
Mr. Bernard John (Ben) Maguire,,Farmer and Director of City of Dublin Assurance Company,Fianna Fáil members of the 7th Dáil,Leitrim-Sligo
Mr. Conor Alexander Maguire,( - 26/09/1971),Senior Counsel,Fianna Fáil members of the 7th Dáil,National University of Ireland
Mr. Thomas (Snr.) McEllistrim,(14/10/1894 - 04/12/1973),Farmer,Fianna Fáil members of the 7th Dáil,Kerry
Mr. Edward Moane,(02/08/1890 - 11/07/1973),Farmer,Fianna Fáil members of the 7th Dáil,Mayo South
Mr. Séamus Moore,( - 14/06/1940),Director Arklow Pottery Works J. Brockhouse & Co. Ltd. Irish National Refineries Ltd. and Sabin Clothing Co. Ltd.,Fianna Fáil members of the 7th Dáil,Wicklow
Mr. Seán Moylan,( - 16/11/1957),Building Contractor,Fianna Fáil members of the 7th Dáil,Cork Mid North South South-East West
Mr. Patrick Stephen Murphy,(13/05/1889 - 01/05/1968),Solicitor,Fianna Fáil members of the 7th Dáil,Cork East
Mr. Seán O'Grady,(01/12/1889 - 07/04/1966),Garage Proprietor,Fianna Fáil members of the 7th Dáil,Clare
Mr. Seán T. O'Kelly,(25/08/1882 - 23/11/1966),Journalist,Fianna Fáil members of the 7th Dáil,Dublin (College Green)
Mr. Matthew O'Reilly,(01/03/1880 - 13/11/1962),Farmer,Fianna Fáil members of the 7th Dáil,Meath
Mr. Thomas (Kerry) O'Reilly,( - 01/01/1944),National Teacher,Fianna Fáil members of the 7th Dáil,Kerry
Mr. Daniel O'Rourke,( - 04/08/1968),National Teacher,Sinn Féin members of the 7th Dáil,Mayo South-Roscommon South
Mr. Thomas P. Powell,(16/04/1892 - 20/06/1971),National Teacher,Fianna Fáil members of the 7th Dáil,Galway
Mr. Edward Rice,(26/04/1873 - 07/11/1937),National Teacher,Fianna Fáil members of the 7th Dáil,Monaghan
Mr. Patrick J. Ruttledge,( - 08/05/1952),Solicitor,Fianna Fáil members of the 7th Dáil,Mayo North and West
Dr. James Ryan,(06/12/1891 - 25/09/1970),Physician Farmer and Company Director,Fianna Fáil members of the 7th Dáil,Wexford South
Mr. Robert Ryan,( - 23/04/1952),Farmer,Fianna Fáil members of the 7th Dáil,Limerick
Mr. Martin Sexton,( - 01/02/1966),Licensed Trader,Fianna Fáil members of the 7th Dáil,Clare
Mr. Timothy (Tipperary) Sheehy,(17/06/1895 - 15/02/1968),Farmer,Fianna Fáil members of the 7th Dáil,Tipperary
Mr. Michael Sheridan,( - 06/07/1970),Farmer,Fianna Fáil members of the 7th Dáil,Cavan
Mr. Patrick Smith,(17/07/1901 - 18/03/1982),Farmer,Fianna Fáil members of the 7th Dáil,Cavan
Mr. Oscar Traynor,(21/03/1886 - 21/12/1963),Woodcarver and Compositor,Fianna Fáil members of the 7th Dáil,Dublin North
Mr. Richard Walsh,( - 04/12/1957),Auctioneer,Fianna Fáil members of the 7th Dáil,Mayo South
Dr. Francis Constantine (Dr.) Ward,(12/02/1890 - 15/12/1966),Medical Practitioner,Fianna Fáil members of the 7th Dáil,Monaghan
