Mr. Ernest Blythe,(13/04/1889 - 23/02/1975),Writer Journalist Theatre Manager,Cumann na nGaedhael members of the 4th Dáil,Monaghan North
Mr. Thomas Bolger,( - 01/05/1938),Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Carlow-Kilkenny
Mr. Seamus Aloysius Bourke,(14/06/1893 - 01/01/1967),Barrister-at-Law,Cumann na nGaedhael members of the 4th Dáil,Tipperary Mid
Mr. Sean Broderick,(01/01/1890 - 20/08/1953),Building Contractor,Cumann na nGaedhael members of the 4th Dáil,Galway
Mr. Francis Bulfin,(12/02/1874 - 22/03/1951),Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Leix-Offaly
Mr. Christopher Michael Byrne,( - 05/09/1957),Farmer,Cumann na nGaedhael members of the 4th Dáil,Kildare-Wicklow
Mr. Francis Cahill,,Secondary Teacher,Cumann na nGaedhael members of the 4th Dáil,Dublin North
Mr. Thomas Carter,(29/03/1882 - 11/09/1951),Shopkeeper,Cumann na nGaedhael members of the 4th Dáil,Leitrim-Roscommon North
Ms. Margaret Collins-O'Driscoll,( - 17/06/1945),School Principal school teacher,Cumann na nGaedhael members of the 4th Dáil,Dublin North
Mr. Martin Conlon,( - 23/01/1966),Dublin Corporation Official Auctioneer,Cumann na nGaedhael members of the 4th Dáil,Roscommon
Mr. Cornelius Connolly,,Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Cork West
Mr. Philip Cosgrave,( - 22/10/1923),Accountant,Cumann na nGaedhael members of the 4th Dáil,Dublin North-West
Mr. William T. Cosgrave,(06/06/1880 - 16/11/1965),Businessman,Cumann na nGaedhael members of the 4th Dáil,Kilkenny North
Mr. Henry Coyle,( - 29/05/1979),Army Officer,Cumann na nGaedhael members of the 4th Dáil,Mayo North
Mr. James Crowley,( - 21/01/1946),Veterinary Surgeon,Cumann na nGaedhael members of the 4th Dáil,Kerry North
Mr. Louis Joseph Dalton,(20/09/1862 - 13/01/1945),Merchant,Cumann na nGaedhael members of the 4th Dáil,Tipperary
Mr. Michael James Derham,( - 20/11/1923),Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Dublin County
Mr. Eugene Doherty,(22/01/1862 - 01/05/1937),Retired Civil Servant,Cumann na nGaedhael members of the 4th Dáil,Donegal
Mr. James Nicholas Dolan,( - 14/07/1955),Merchant,Cumann na nGaedhael members of the 4th Dáil,Leitrim
Mr. Peadar S. Doyle,( - 04/08/1956),Engineer,Cumann na nGaedhael members of the 4th Dáil,Dublin South
Mr. Patrick Duffy,(28/07/1875 - 21/07/1946),Mechanic,Cumann na nGaedhael members of the 4th Dáil,Monaghan
Mr. Edmund Duggan,( - 06/06/1936),Solicitor,Cumann na nGaedhael members of the 4th Dáil,Meath South
Mr. James Dwyer,( - 17/12/1932),Farmer and Cattle Exporter,Cumann na nGaedhael members of the 4th Dáil,Leix-Offaly
Mr. Michael Egan,,Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Cork Borough
Mr. Patrick Joseph Egan,( - 28/04/1960),Company Director,Cumann na nGaedhael members of the 4th Dáil,Leix-Offaly
Mr. Osmond Thomas Grattan Esmonde,(04/04/1896 - 22/07/1936),Diplomat and Politician,Cumann na nGaedhael members of the 4th Dáil,Wexford
Mr. Henry Joseph Finlay,( - 01/01/1959),Merchant,Cumann na nGaedhael members of the 4th Dáil,Roscommon
Mr. Desmond FitzGerald,(13/02/1888 - 09/04/1947),Politician and Philosopher,Cumann na nGaedhael members of the 4th Dáil,Dublin (Pembroke)
Mr. Sean Francis Gibbons,(31/05/1883 - 19/04/1952),Fianna Fáil (Fianna Fáil members of the 4th Dáil),Fianna Fáil members of the 4th Dáil,Carlow-Kilkenny
Mr. Richard Francis Hayes,( - 01/01/1958),Medical Practitioner Historian Film Censor,Cumann na nGaedhael members of the 4th Dáil,Limerick East
Mr. Michael Joseph Hennessy,,Insurance Broker and Commercial Agent Peace Commissioner,Cumann na nGaedhael members of the 4th Dáil,Cork East and North-East
Mr. Thomas Hennessy,,Medical Practitioner,Cumann na nGaedhael members of the 4th Dáil,Dublin South
Mr. John Hennigan,,Farmer,Cumann na nGaedhael members of the 4th Dáil,Leitrim-Sligo
Mr. Patrick J. Hogan,( - 14/07/1936),Solicitor and Farmer,Cumann na nGaedhael members of the 4th Dáil,Galway
Mr. Peter Hughes,( - 24/06/1954),Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Louth-Meath
Mr. Hugh Kennedy,(11/07/1879 - 01/12/1936),Barrister (later Chief Justice),Cumann na nGaedhael members of the 4th Dáil,Dublin South
Mr. Andrew Lavin,,Farmer,Cumann na nGaedhael members of the 4th Dáil,Leitrim-Roscommon North
Mr. James Ledden,( - 19/01/1927),Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Limerick
Mr. Patrick Leonard,,Cattle Salesman,Cumann na nGaedhael members of the 4th Dáil,Dublin North
Mr. Fionán Lynch,(17/03/1889 - 03/06/1966),Barrister-at-law,Cumann na nGaedhael members of the 4th Dáil,Kerry South
Mr. Joseph Michael MacBride,( - 01/01/1938),Secretary Westport Harbour Commissioners,Cumann na nGaedhael members of the 4th Dáil,Mayo West
Mr. Alasdar MacCába,(05/06/1886 - 31/05/1972),Building Society General Manager,Cumann na nGaedhael members of the 4th Dáil,Sligo South
Professor Eoin MacNeill,(15/05/1867 - 15/10/1945),University Professor,Cumann na nGaedhael members of the 4th Dáil,National University of Ireland
Mr. Daniel McCarthy,( - 01/01/1957),Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Dublin South
Mr. Denis McCullough,(24/01/1883 - 11/09/1968),Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Donegal
Mr. John Patrick McCurtin,(24/06/1896 - 12/11/1982),Army Officer,Cumann na nGaedhael members of the 4th Dáil,Tipperary
Mr. Patrick McFadden,,Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Donegal
Mr. Seán McGarry,,Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Dublin Mid West
Mr. Patrick McGoldrick,(12/08/1865 - 26/04/1939),Merchant,Cumann na nGaedhael members of the 4th Dáil,Donegal
Mr. Joseph McGrath,( - 01/03/1966),Company Director (Hospitals Trust),Cumann na nGaedhael members of the 4th Dáil,Dublin (St. James's)
Mr. Sean Milroy,( - 30/11/1946),Journalist,Cumann na nGaedhael members of the 4th Dáil,Fermanagh and Tyrone
General Richard Mulcahy,(10/05/1886 - 16/12/1971),Company Director,Fine Gael members of the 4th Dáil,Dublin (Clontarf)
Mr. Joseph Edward Murphy,(28/12/1887 - 07/10/1961),Draper,Cumann na nGaedhael members of the 4th Dáil,Louth-Meath
Mr. Martin Nally,( - 01/08/1966),Farmer,Cumann na nGaedhael members of the 4th Dáil,Mayo South
Mr. George Nicolls,( - 11/05/1942),Solicitor,Cumann na nGaedhael members of the 4th Dáil,Galway
Mr. John Thomas Nolan,( - 01/01/1948),Farmer,Cumann na nGaedhael members of the 4th Dáil,Limerick
Mr. Michael K. Noonan,,Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Cork East
Mr. Pádraic Ó Máille,(23/02/1878 - 19/01/1946),Fianna Fáil (Fianna Fáil members of the 4th Dáil),Fianna Fáil members of the 4th Dáil,Galway Connemara
Mr. Richard O'Connell,(13/03/1892 - 01/10/1964),Ex-Army Officer,Cumann na nGaedhael members of the 4th Dáil,Limerick
Mr. Bartholomew O'Connor,( - 07/02/1935),Building Contractor,Cumann na nGaedhael members of the 4th Dáil,Dublin County
Mr. Kevin O'Higgins,(07/06/1892 - 10/07/1927),Solicitor,Cumann na nGaedhael members of the 4th Dáil,Queen's County
Mr. Thomas O'Mahony,( - 20/07/1924),Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Cork East
Mr. James O'Mara,(06/08/1873 - 21/11/1948),Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Dublin South
Mr. Alfred O'Rahilly,(01/10/1884 - 01/08/1969),Cumann na nGaedhael (Cumann na nGaedhael members of the 4th Dáil),Cumann na nGaedhael members of the 4th Dáil,Cork Borough
Mr. John Joseph O'Reilly,(24/04/1881 - 28/12/1967),Medical Practitioner,Cumann na nGaedhael members of the 4th Dáil,Cavan
Mr. John Marcus O'Sullivan,(18/02/1881 - 09/02/1948),University Professor,Cumann na nGaedhael members of the 4th Dáil,Kerry
