Mr. Ernest Henry Alton,( - 18/02/1952),University Professor,Independent members of the 7th Dáil,Dublin University
Mr. Brook Brasier,(01/02/1879 - 31/08/1940),Peace Commissioner,Independent members of the 7th Dáil,Cork East
Mr. Alfred Byrne,(17/03/1882 - 13/03/1956),Company Director,Independent members of the 7th Dáil,Dublin Mid West
Mr. James Coburn,( - 05/12/1953),Builders Foreman,Independent members of the 7th Dáil,Louth
Sir James Craig,( - 12/07/1933),Professor of Medicine,Independent members of the 7th Dáil,Dublin University
Mr. James M. Dillon,(26/09/1902 - 10/02/1986),Barrister-at-Law Farmer and Merchant,Independent members of the 7th Dáil,Donegal
Mr. John Good,( - 02/04/1941),Company Director,Independent members of the 7th Dáil,Dublin County
Mr. Frank McDermott,( - 24/06/1975),Former Bank Official Barrister-at-law,Independent members of the 7th Dáil,Roscommon
Major James Sproule (Major) Myles,( - 13/02/1956),Retired British Army Officer (Major Royal Inniskilling Fusiliers),Independent members of the 7th Dáil,Donegal
Mr. Timothy Joseph O'Donovan,(04/04/1881 - 01/01/1951),Farmer,Farmers Party members of the 7th Dáil,Cork West
Mr. John F. O'Hanlon,(04/11/1872 - 22/12/1956),Journalist,Independent members of the 7th Dáil,Cavan
Professor William Edward Thrift,(28/02/1870 - 23/04/1942),University Professor,Independent members of the 7th Dáil,Dublin University
Mr. Jasper Travers Wolfe,(03/08/1872 - 27/08/1952),Solicitor,Independent members of the 7th Dáil,Cork West
