Mr. Frank Aiken,(13/02/1898 - 18/05/1983),Farmer,Fianna Fáil members of the 10th Dáil,Louth
Mr. Denis Allen,(02/01/1896 - 29/03/1961),Farmer,Fianna Fáil members of the 10th Dáil,Wexford
Mr. Gerald Bartley,(12/06/1898 - 10/05/1974),Insurance Official Barrister-at-law,Fianna Fáil members of the 10th Dáil,Galway
Mr. Patrick Beegan,(26/05/1895 - 02/02/1959),Farmer,Fianna Fáil members of the 10th Dáil,Galway
Mr. Gerald Boland,(25/05/1885 - 05/01/1973),Engineer,Fianna Fáil members of the 10th Dáil,Roscommon
Mr. Patrick Boland,,Farmer,Fianna Fáil members of the 10th Dáil,Leix-Offaly
Mr. Daniel Bourke,( - 13/04/1952),Wagon Builder and Former Lord Mayor of Limerick,Fianna Fáil members of the 10th Dáil,Limerick
Mr. Brian Brady,(01/01/1903 - 10/09/1949),General Merchant,Fianna Fáil members of the 10th Dáil,Donegal
Mr. Sean Brady,( - 24/02/1969),Member of Vigzol Lubricants Ltd.,Fianna Fáil members of the 10th Dáil,Dublin County
Mr. Cormac Breathnach,( - 29/05/1956),National School Teacher,Fianna Fáil members of the 10th Dáil,Dublin North
Mr. Daniel Breen,(11/08/1894 - 27/12/1969),Former Railway Employee,Fianna Fáil members of the 10th Dáil,Tipperary
Mr. Martin Brennan,(01/03/1903 - 21/06/1956),Medical Practitioner,Fianna Fáil members of the 10th Dáil,Sligo
Mr. Cormac Breslin,(25/04/1902 - 23/01/1978),General Merchant,Fianna Fáil members of the 10th Dáil,Donegal West
Mr. Robert Briscoe,(25/09/1894 - 30/05/1969),Company Director,Fianna Fáil members of the 10th Dáil,Dublin South
Mr. Sean Buckley,( - 01/01/1963),Contractor and Builder,Fianna Fáil members of the 10th Dáil,Cork West
Mr. Francis Joseph Carty,(03/04/1897 - 10/09/1942),Farmer,Fianna Fáil members of the 10th Dáil,Sligo-Mayo East
Mr. Erskine Hamilton Childers,(11/12/1905 - 17/11/1974),Company Director,Fianna Fáil members of the 10th Dáil,Athlone-Longford
Mr. Micheál Clery,,Solicitor Irish Teacher,Fianna Fáil members of the 10th Dáil,Mayo North
Mr. Eamonn Cooney,( - 07/02/1975),Grocer's Assistant Commercial Traveller,Fianna Fáil members of the 10th Dáil,Dublin North
Mr. Martin John Corry,(12/12/1890 - 14/02/1979),Farmer,Fianna Fáil members of the 10th Dáil,Cork East
Mr. Fred Hugh Crowley,( - 05/05/1945),Lecturer and Farmer,Fianna Fáil members of the 10th Dáil,Kerry
Mr. Tadhg Crowley,( - 12/03/1970),Merchant.,Fianna Fáil members of the 10th Dáil,Limerick
Mr. Eamon de Valera,(14/10/1882 - 29/08/1975),Secondary Teacher,Fianna Fáil members of the 10th Dáil,Clare East
Mr. Thomas Derrig,( - 19/11/1956),Headmaster,Fianna Fáil members of the 10th Dáil,Mayo North and West
Mr. Thomas Dowdall,(01/01/1870 - 07/04/1942),Company Director,Fianna Fáil members of the 10th Dáil,Cork Borough
Mr. Hugo Victor Flinn,( - 28/01/1943),Engineer,Fianna Fáil members of the 10th Dáil,Cork Borough
Mr. John Flynn,( - 22/08/1968),Farmer,Fianna Fáil members of the 10th Dáil,Kerry
Mr. Stephen Flynn,( - 24/11/1960),Fianna Fáil (Fianna Fáil members of the 10th Dáil),Fianna Fáil members of the 10th Dáil,Leitrim-Sligo
