Mr. Brendan Corish,(19/11/1918 - 17/02/1990),Full-Time Public Representative,The Labour Party members of the 12th Dáil,Wexford
Mr. Richard Corish,( - 19/07/1945),Labour Union Official,The Labour Party members of the 12th Dáil,Wexford
Mr. William Davin,( - 01/03/1956),Station Master,The Labour Party members of the 12th Dáil,Leix-Offaly
Mr. Michael Keyes,,Railway Worker,The Labour Party members of the 12th Dáil,Limerick
Mr. James (Junior) Larkin,( - 18/02/1969),Trade Union Official,The Labour Party members of the 12th Dáil,Dublin South
Mr. Patrick McAuliffe,(01/08/1914 - 13/10/1989),Farmer,The Labour Party members of the 12th Dáil,Cork North
Mr. Timothy Joseph Murphy,( - 29/04/1949),Trade Union Official,The Labour Party members of the 12th Dáil,Cork West
Mr. William Norton,( - 04/12/1963),Trade Union Official,The Labour Party members of the 12th Dáil,Dublin County
Mr. Martin O'Sullivan,( - 20/01/1956),Railway Official,The Labour Party members of the 12th Dáil,Dublin North-West
