Mr. Peter Barry,(10/08/1928 - ),Tea Merchant,Fine Gael members of the 19th Dáil,Cork City South-East
Mr. Richard Barry,(04/09/1919 - ),Publican,Fine Gael members of the 19th Dáil,Cork East
Mr. Michael Begley,(22/08/1932 - ),Carpenter,Fine Gael members of the 19th Dáil,Kerry South
Mr. Luke Belton,(09/08/1918 - 18/06/2006),Publican,Fine Gael members of the 19th Dáil,Dublin North Central
Mr. Paddy Belton,(25/06/1926 - 22/05/1987),Publican and Company Director,Fine Gael members of the 19th Dáil,Dublin North-East
Mr. John Bruton,(18/05/1947 - ),Public Representative Lawyer Farmer Economist,Fine Gael members of the 19th Dáil,Meath
Mrs. Joan T. Burke,(08/02/1928 - ),Nurse Farmer,Fine Gael members of the 19th Dáil,Roscommon
Mr. Liam Burke,(02/02/1928 - 21/08/2005),Full-Time Public Representative Garage Proprietor,Fine Gael members of the 19th Dáil,Cork City North-West
Mr. Richard Burke,(29/03/1932 - ),Secondary Teacher,Fine Gael members of the 19th Dáil,Dublin County South
Mr. Philip Burton,(26/07/1910 - 03/01/1995),Farmer and Auctioneer,Fine Gael members of the 19th Dáil,Cork North-East
Mr. Hugh Byrne,(05/07/1939 - ),District Medical Officer,Fine Gael members of the 19th Dáil,Dublin North-West
Mr. Mark A. Clinton,(07/02/1915 - 23/12/2001),Estate Manager,Fine Gael members of the 19th Dáil,Dublin County
Mr. Edward Collins,(01/02/1941 - ),Company Director Farmer Exporter.,Fine Gael members of the 19th Dáil,Waterford
Mr. John Francis. Conlon,(21/05/1928 - 03/12/2004),Grocer and Publican,Fine Gael members of the 19th Dáil,Industrial and Commercial Panel
Mr. Fintan (Senior) Coogan,(13/04/1910 - 01/01/1985),Blacksmith,Fine Gael members of the 19th Dáil,Galway West
Mr. Patrick M. Cooney,(02/03/1931 - ),Solicitor,Fine Gael members of the 19th Dáil,Longford -Westmeath
Mr. Liam Cosgrave,(13/04/1920 - ),Barrister-at-Law,Fine Gael members of the 19th Dáil,Dublin County
Mr. Gerard Cott,(30/04/1940 - ),Secondary Teacher,Fine Gael members of the 19th Dáil,Cork North-East
Mr. Donal Creed,(07/09/1924 - ),Farm owner,Fine Gael members of the 19th Dáil,Cork Mid
Mr. Kieran Crotty,(30/08/1930 - ),Baker,Fine Gael members of the 19th Dáil,Carlow-Kilkenny
Mr. Henry Percy Dockrell,(27/12/1914 - 22/11/1979),Solicitor,Fine Gael members of the 19th Dáil,Dún Laoghaire and Rathdown
Mr. Maurice Edward Dockrell,(06/10/1908 - 09/12/1986),Company Director,Fine Gael members of the 19th Dáil,Dublin South
Mr. Patrick S. Donegan,(29/10/1923 - 26/11/2000),Businessman and Farmer,Fine Gael members of the 19th Dáil,Louth
Mr. John F. Donnellan,(27/03/1937 - ),Farmer,Fine Gael members of the 19th Dáil,Galway East
Mr. Thomas Dunne,(10/03/1926 - 03/08/1990),Licensed Vintner,Fine Gael members of the 19th Dáil,Tipperary North
Mr. Tom.W Enright,(26/07/1940 - ),Public Representative Solicitor.,Fine Gael members of the 19th Dáil,Laoighis-Offaly
Sir Anthony Charles Esmonde,(18/01/1899 - 01/01/1981),Medical Practitioner and Farmer,Fine Gael members of the 19th Dáil,Wexford
Mr. Martin Finn,(22/08/1917 - 07/03/1988),Farmer,Fine Gael members of the 19th Dáil,Mayo East
Mr. Garret FitzGerald,(09/02/1926 - ),Lecturer Economist,Fine Gael members of the 19th Dáil,Industrial and Commercial Panel
Mr. Thomas J. (Cavan) Fitzpatrick,(14/02/1918 - 02/10/2006),Solicitor,Fine Gael members of the 19th Dáil,Administrative Panel
Mr. Oliver J. Flanagan,(22/05/1920 - 26/04/1987),Carpenter and Auctioneer,Fine Gael members of the 19th Dáil,Leix-Offaly
Mr. Billy Fox,(03/01/1939 - 12/03/1974),Fine Gael (Fine Gael members of the 19th Dáil),Fine Gael members of the 19th Dáil,Monaghan
Mr. Desmond Governey,(11/09/1920 - ),Businessman,Fine Gael members of the 19th Dáil,Carlow-Kilkenny
Mr. Paddy Harte,(26/07/1931 - ),Farmer Butcher,Fine Gael members of the 19th Dáil,Donegal North-East
Mr. Patrick (Tipperary South) Hogan,(25/03/1907 - 05/10/1972),Surgeon,Fine Gael members of the 19th Dáil,Tipperary South
Mrs. Brigid Hogan-O'Higgins,(10/03/1932 - ),Farmer,Fine Gael members of the 19th Dáil,Galway South
Mr. Denis Francis Jones,(12/10/1906 - 06/05/1987),National School Teacher,Fine Gael members of the 19th Dáil,Limerick West
Mr. Henry Kenny,(07/09/1913 - 25/09/1975),Teacher,Fine Gael members of the 19th Dáil,Mayo South
