Mr. Bertie Ahern,(12/09/1951 - ),Full-time Public Representative formerly Accountant,Fianna Fáil members of the 24th Dáil,Dublin (Finglas)
Mr. Michael Ahern,(20/01/1949 - ),Public Representative Registered Auditor and Accountant,Fianna Fáil members of the 24th Dáil,Cork East
Mr. David Andrews,(15/03/1935 - ),Minister Senior Counsel,Fianna Fáil members of the 24th Dáil,Dún Laoghaire and Rathdown
Mr. Niall Andrews,(19/08/1937 - 16/10/2006),Former RTE Programme Executive,Fianna Fáil members of the 24th Dáil,Dublin County South
Mr. Liam Aylward,(27/09/1952 - ),Full-Time Public Representative formerly Laboratory Technician,Fianna Fáil members of the 24th Dáil,Carlow-Kilkenny
Mr. Michael Barrett,(15/01/1927 - 08/07/2006),Full-Time Public Representative formerly an Employee of An Foras Talúntais,Fianna Fáil members of the 24th Dáil,Dublin North-West
Mr. Sylvester Barrett,(18/05/1926 - 08/05/2002),Auctioneer,Fianna Fáil members of the 24th Dáil,Clare
Mr. Gerard Brady,(01/07/1936 - ),Opthalmic Optician,Fianna Fáil members of the 24th Dáil,Dublin (Rathmines West)
Mr. Vincent Brady,(14/03/1936 - ),Accountant Administrator and Managing Director,Fianna Fáil members of the 24th Dáil,Dublin North Central
Mr. Matt Brennan,(01/10/1936 - ),Full-Time Public Representative formerly VEC Instructor,Fianna Fáil members of the 24th Dáil,Sligo-Leitrim
Mr. Paudge Brennan,(18/02/1922 - 10/06/1998),Farmer,Fianna Fáil members of the 24th Dáil,Wicklow
Mr. Seamus Brennan (Deceased),(16/02/1948 - 09/07/2008),Public Representative formerly Accountant and Management Consultant.,Fianna Fáil members of the 24th Dáil,Nominated by the Taoiseach
Mr. Ben Briscoe,(11/03/1934 - ),Full-Time Public Representative,Fianna Fáil members of the 24th Dáil,Dublin South-West
Mr. John Browne,(01/08/1948 - ),Full-Time Public Representative formerly Salesman,Fianna Fáil members of the 24th Dáil,Wexford
Mr. Raphael P. (Ray) Burke,(30/09/1943 - ),Estate Agent,Fianna Fáil members of the 24th Dáil,Dublin County North
Mr. Hugh Byrne,(03/09/1943 - ),Farmer,Fianna Fáil members of the 24th Dáil,Wexford
Mr. Sean Byrne,(16/05/1937 - ),Public Representative Farmer,Fianna Fáil members of the 24th Dáil,Tipperary South
Mr. Sean Calleary,(27/10/1931 - ),Civil Engineer,Fianna Fáil members of the 24th Dáil,Mayo East
Mr. George Colley,(18/10/1925 - 17/09/1983),Solicitor,Fianna Fáil members of the 24th Dáil,Dublin North-East
Mr. Gerard Collins,(16/10/1938 - ),Vocational Teacher,Fianna Fáil members of the 24th Dáil,Limerick West
Mr. Hugh Conaghan,(06/05/1926 - ),Transport Official.,Fianna Fáil members of the 24th Dáil,Donegal
Mr. Gerard C. Connolly,(16/04/1937 - ),Farmer Auctioneer Businessman and Company Director,Fianna Fáil members of the 24th Dáil,Laoighis-Offaly
Mr. Cathal Coughlan,(03/10/1937 - 21/06/1986),Fianna Fáil (Fianna Fáil members of the 24th Dáil),Fianna Fáil members of the 24th Dáil,Donegal South-West
Mr. Clement Coughlan,(14/08/1942 - 01/02/1983),National School Teacher,Fianna Fáil members of the 24th Dáil,Donegal
Mr. Bernard F. Cowen,(29/01/1932 - 24/01/1984),Publican.,Fianna Fáil members of the 24th Dáil,Laoighis-Offaly
Mr. Brian Cowen,(01/01/1960 - ),Minister formerly Solicitor,Fianna Fáil members of the 24th Dáil,Laoighis-Offaly
Mr. Brendan Daly,(02/02/1940 - ),Full-Time Public Representative,Fianna Fáil members of the 24th Dáil,Clare
Mr. Sean (Longford-Roscommon) Doherty,(29/06/1944 - 07/06/2005),Full-Time Public Representative Auctioneer,Fianna Fáil members of the 24th Dáil,Roscommon-Leitrim
Mr. Frank Fahey,(06/06/1951 - ),Public Representative formerly Secondary School Teacher,Fianna Fáil members of the 24th Dáil,Galway West
Mr. John (Jackie) Fahey,(23/01/1928 - ),Farmer Auctioneer Insurance Broker,Fianna Fáil members of the 24th Dáil,Tipperary South
Mr. Padraig Faulkner,(12/03/1918 - ),National Teacher,Fianna Fáil members of the 24th Dáil,Louth
Mr. Eugene (Gene) Fitzgerald,(21/08/1932 - ),Public Representative Formerly company director,Fianna Fáil members of the 24th Dáil,Cork Mid
Mr. Liam Joseph Fitzgerald,(01/09/1949 - ),Full-Time Public Representative formerly National Teacher,Fianna Fáil members of the 24th Dáil,Dublin North-East
Mr. James N. Fitzsimons,(16/12/1936 - ),Publican,Fianna Fáil members of the 24th Dáil,Meath
Mr. Pádraig Flynn,(09/05/1939 - ),Primary Teacher and Publican,Fianna Fáil members of the 24th Dáil,Mayo West
Mr. Denis Foley,(14/05/1934 - ),Public Representative formerly Rate Collector,Fianna Fáil members of the 24th Dáil,Kerry North
Mr. Denis Gallagher,(23/11/1923 - 03/11/2001),Primary School Teacher,Fianna Fáil members of the 24th Dáil,Mayo West
Mr. Pat (The Cope) Gallagher (Seat vacated 06-06-2009),(10/03/1948 - ),Fish exporter Public Representative,Fianna Fáil members of the 24th Dáil,Donegal South-West
Mrs. Máire Geoghegan-Quinn,(05/09/1950 - ),National Teacher author,Fianna Fáil members of the 24th Dáil,Galway West
Ms. Mary Harney,(11/03/1953 - ),Full-Time Public Representative formerly Research worker.,Fianna Fáil members of the 24th Dáil,Nominated by the Taoiseach
Mr. Charles J. Haughey,(16/09/1925 - 13/06/2006),Formerly Accountant,Fianna Fáil members of the 24th Dáil,Dublin North-East
Mr. Colm Hilliard,(01/05/1936 - 14/01/2002),Livestock Marketing Manager Auctioneer Accountant,Fianna Fáil members of the 24th Dáil,Meath
Mr. Liam Hyland,(24/04/1933 - ),Farmer,Fianna Fáil members of the 24th Dáil,Industrial and Commercial Panel
